presenter_name,presenter_institution,presentation_title,session_title,session_description
Jessica Restaino,Montclair State University,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop."
Lauren Rosenberg,New Mexico State University,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop."
Tiffany Rousculp,Salt Lake Community College,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop."
Erec Smith,York College of Pennsylvania,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop."
Jason Luther,Syracuse University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments."
Marilee Brooks-Gillies,Indiana UniversityPurdue University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments."
Frank Farmer,University of Kansas,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments."
Steven Hammer,Saint Joseph's University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments."
Danielle Koupf,Wichita State University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments."
Kelly McElroy,Oregon State University Libraries and Press,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments."
 Chelsea Murdock,University of Kansas,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments."
Kristin Prins,California State Polytechnic University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments."
Kristin Ravel,University of Wisconsin,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments."
Ann Shivers-McNair,University of Washington,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments."
Martha Webber,California State University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments."
Patrick Williams,Syracuse University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments."
Patrick Berry,Syracuse University,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.
Laura Rogers,Albany College of Pharmacy and Health Sciences,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.
Daniel Cleary,Lorain County Community College,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.
Phyllis Hastings,Saginaw Valley State University,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.
Wendy Hinshaw,Florida Atlantic University,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.
Kathie Klarreich,Exchange for Change,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.
Michele McCormack,Chemeketa Community College,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.
Kimberly Drake,Scripps College,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.
Cory Holding,University of Pittsburgh,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.
Tobi Jacobi,Colorado State University,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.
Anna Plemons,Washington State University,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.
Daniel Anderson,University of North Carolina at Chapel Hill,NA,Using Digital Creative Arts to Teach Multimedia Composing,"Drawing on digital creative arts, this workshop shows participants how to develop, implement, and assess multimodal composing projects."
Tyler Easterbrook,University of North Carolina at Chapel Hill,NA,Using Digital Creative Arts to Teach Multimedia Composing,"Drawing on digital creative arts, this workshop shows participants how to develop, implement, and assess multimodal composing projects."
Adam Engel,University of North Carolina at Chapel Hill,NA,Using Digital Creative Arts to Teach Multimedia Composing,"Drawing on digital creative arts, this workshop shows participants how to develop, implement, and assess multimodal composing projects."
Ashley Hall,Wright State University,NA,Using Digital Creative Arts to Teach Multimedia Composing,"Drawing on digital creative arts, this workshop shows participants how to develop, implement, and assess multimodal composing projects."
Jason Loan,University of North Carolina at Chapel Hill,NA,Using Digital Creative Arts to Teach Multimedia Composing,"Drawing on digital creative arts, this workshop shows participants how to develop, implement, and assess multimodal composing projects."
Jennifer Ware,Wright State University,NA,Using Digital Creative Arts to Teach Multimedia Composing,"Drawing on digital creative arts, this workshop shows participants how to develop, implement, and assess multimodal composing projects."
Michelle Niestepski,Lasell College,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces."
Katherine Tirabassi,Keene State College,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces."
Suzanne Bordelon,"San Diego State University,",NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces."
San Diego,CA,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces."
Shannon Carter,Texas A&M University,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces."
Michael-John DePalma,Baylor University,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces."
David Gold,University of Michigan,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces."
Wendy Hayden,Hunter College,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces."
Jenna Morton-Aiken,University of Rhode Island,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces."
Liza Potts,Michigan State University,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces."
Robert Schwegler,University of Rhode Island,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces."
Pamela VanHaitsma,Old Dominion University,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces."
Karl Stolley,Illinois Institute of Technology,NA,Foundations in Programming,This workshop will teach writing teachers to program in JavaScript. No previous experience in programming is necessary. Participants should bring laptops or tablets.
Daniel Bommarito,Bowling Green State University,NA,Career Pathways Workshop for Rhet/Comp Graduates,"This workshop, designed for grad students and faculty advisors, explores preparation for careers both inside and outside of the university."
Green,OH,NA,Career Pathways Workshop for Rhet/Comp Graduates,"This workshop, designed for grad students and faculty advisors, explores preparation for careers both inside and outside of the university."
Jenae Cohn,University of California,NA,Career Pathways Workshop for Rhet/Comp Graduates,"This workshop, designed for grad students and faculty advisors, explores preparation for careers both inside and outside of the university."
Stacy Hartman,Modern Language Association,NA,Career Pathways Workshop for Rhet/Comp Graduates,"This workshop, designed for grad students and faculty advisors, explores preparation for careers both inside and outside of the university."
Sarah Klotz,Butte College,NA,Career Pathways Workshop for Rhet/Comp Graduates,"This workshop, designed for grad students and faculty advisors, explores preparation for careers both inside and outside of the university."
Carrie Leverenz,Texas Christian University,NA,Career Pathways Workshop for Rhet/Comp Graduates,"This workshop, designed for grad students and faculty advisors, explores preparation for careers both inside and outside of the university."
Mary Stewart,Indiana University of Pennsylvania,NA,Career Pathways Workshop for Rhet/Comp Graduates,"This workshop, designed for grad students and faculty advisors, explores preparation for careers both inside and outside of the university."
Lavinia Hirsu,University of Glasgow,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world."
Keith Lloyd,Kent State University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world."
Lilian Mina,Auburn University at Montgomery,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world."
Ghanashyam Sharma,Stony Brook University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world."
Sara P. Alvarez,"University of Louisville,",NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world."
Louisville,KY,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world."
Moushumi Biswas,University of Texas at El Paso,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world."
Nils Olov Fors,People's Education Press,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world."
Maria Houston,Notre Dame College,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world."
Hem Raj Kafle,Kathmandu University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world."
Julia Kiernan,Kettering University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world."
Zsuzsanna Palmer,Grand Valley State University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world."
Jason Peters,California Polytechnic State University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world."
Rich Rice,Texas Tech University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world."
Cristina Sanchez-Martin,Illinois State University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world."
Lindsay Steiner,University of Wisconsinâ€“La Crosse,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world."
Mayada Zaki,American University in Cairo & Cairo University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world."
Steve Benninghoff,Eastern Michigan University,NA,Cultivating New TPC Instructors: A Heuristic-Based Technical and Professional Writing Pedagogy Workshop,This workshop will cultivate heuristic pedagogy for new TPC instructors in four core focus areas.
Teena Carnegie,Eastern Washington University,NA,Cultivating New TPC Instructors: A Heuristic-Based Technical and Professional Writing Pedagogy Workshop,This workshop will cultivate heuristic pedagogy for new TPC instructors in four core focus areas.
Scott Kowalewski,Saginaw Valley State University,NA,Cultivating New TPC Instructors: A Heuristic-Based Technical and Professional Writing Pedagogy Workshop,This workshop will cultivate heuristic pedagogy for new TPC instructors in four core focus areas.
Bill Williamson,Saginaw Valley State University,NA,Cultivating New TPC Instructors: A Heuristic-Based Technical and Professional Writing Pedagogy Workshop,This workshop will cultivate heuristic pedagogy for new TPC instructors in four core focus areas.
Lindsey Albracht,The Graduate Center,NA,Assessing Multimodal Writing: Cultivating Course Contract Pedagogies for Emerging Composition Medias,A participatory workshop that explores theories and cultivates pedagogies for contract-based assessment of new media composition projects.
Virginia Schwarz,University of Wisconsin,NA,Assessing Multimodal Writing: Cultivating Course Contract Pedagogies for Emerging Composition Medias,A participatory workshop that explores theories and cultivates pedagogies for contract-based assessment of new media composition projects.
Glen Southergill,Montana Tech of the University of Montana,NA,Assessing Multimodal Writing: Cultivating Course Contract Pedagogies for Emerging Composition Medias,A participatory workshop that explores theories and cultivates pedagogies for contract-based assessment of new media composition projects.
Nicole Warwick,University of California,NA,Assessing Multimodal Writing: Cultivating Course Contract Pedagogies for Emerging Composition Medias,A participatory workshop that explores theories and cultivates pedagogies for contract-based assessment of new media composition projects.
Rebecca Baker,Western Washington University,NA,Story-Driven Podcasting for Writing Class,The workshop invites participants to practice podcasting and imagine the ways podcast assignments may work for their writing classes. Participants should bring laptops or tablets.
Jeremy Cushman,Western Washington University,NA,Story-Driven Podcasting for Writing Class,The workshop invites participants to practice podcasting and imagine the ways podcast assignments may work for their writing classes. Participants should bring laptops or tablets.
Tristan Hanson,Western Washington University,NA,Story-Driven Podcasting for Writing Class,The workshop invites participants to practice podcasting and imagine the ways podcast assignments may work for their writing classes. Participants should bring laptops or tablets.
Michael Johnston,Western Washington University,NA,Story-Driven Podcasting for Writing Class,The workshop invites participants to practice podcasting and imagine the ways podcast assignments may work for their writing classes. Participants should bring laptops or tablets.
Shannon Kelly,Western Washington University,NA,Story-Driven Podcasting for Writing Class,The workshop invites participants to practice podcasting and imagine the ways podcast assignments may work for their writing classes. Participants should bring laptops or tablets.
Jenny Lara,Western Washington University,NA,Story-Driven Podcasting for Writing Class,The workshop invites participants to practice podcasting and imagine the ways podcast assignments may work for their writing classes. Participants should bring laptops or tablets.
Maggie Nelson,Western Washington University,NA,Story-Driven Podcasting for Writing Class,The workshop invites participants to practice podcasting and imagine the ways podcast assignments may work for their writing classes. Participants should bring laptops or tablets.
Dayna Patterson,Western Washington University,NA,Story-Driven Podcasting for Writing Class,The workshop invites participants to practice podcasting and imagine the ways podcast assignments may work for their writing classes. Participants should bring laptops or tablets.
