presenter_name,presenter_institution,presentation_title,session_title,session_description
Marriott,Grand Ballroom D,NA,"Teach, Transform, and Talk for ""High Road""(1) Transfer: Uptake Genres Helping Students Articulate How They Mediate Writing Development ",Tools for Transfer: designing and using uptake genres to help students gain strategies for articulating the writing process.
Michelle Wright Dottore,Illinois State University,NA,"Teach, Transform, and Talk for ""High Road""(1) Transfer: Uptake Genres Helping Students Articulate How They Mediate Writing Development ",Tools for Transfer: designing and using uptake genres to help students gain strategies for articulating the writing process.
Julie Bates,Illinois State University,NA,"Teach, Transform, and Talk for ""High Road""(1) Transfer: Uptake Genres Helping Students Articulate How They Mediate Writing Development ",Tools for Transfer: designing and using uptake genres to help students gain strategies for articulating the writing process.
Elizabeth Williams,Illinois State University,NA,"Teach, Transform, and Talk for ""High Road""(1) Transfer: Uptake Genres Helping Students Articulate How They Mediate Writing Development ",Tools for Transfer: designing and using uptake genres to help students gain strategies for articulating the writing process.
Angela Sheets,Illinois State University,NA,"Teach, Transform, and Talk for ""High Road""(1) Transfer: Uptake Genres Helping Students Articulate How They Mediate Writing Development ",Tools for Transfer: designing and using uptake genres to help students gain strategies for articulating the writing process.
Marriott,Grand Ballroom G,NA,Give Writing a Body That Moves: Embodied Performance in the Writing Classroom ,This half-day workshop will guide participants through performance methods applicable to writing classrooms.
Anna West,Louisiana State University,Stage 1: Story Circles,Give Writing a Body That Moves: Embodied Performance in the Writing Classroom ,This half-day workshop will guide participants through performance methods applicable to writing classrooms.
Cara Jones,Towson University,Stage 2: De-Mechanizing the Body,Give Writing a Body That Moves: Embodied Performance in the Writing Classroom ,This half-day workshop will guide participants through performance methods applicable to writing classrooms.
Penelope Dane,Louisiana State University,Stage 3: Image Theater,Give Writing a Body That Moves: Embodied Performance in the Writing Classroom ,This half-day workshop will guide participants through performance methods applicable to writing classrooms.
Ryan McGuckin,Louisiana State University,Stage 4: Forum Theater,Give Writing a Body That Moves: Embodied Performance in the Writing Classroom ,This half-day workshop will guide participants through performance methods applicable to writing classrooms.
David Riche,Louisiana State University,Stage 5: Games for Writers and Non-Writers,Give Writing a Body That Moves: Embodied Performance in the Writing Classroom ,This half-day workshop will guide participants through performance methods applicable to writing classrooms.
Marriott,Grand Ballroom H,NA,"Linking Archives and Digital Humanities: Identifying Questions, Defining Terms, Exploring Resources, and Creating Digital Archives ",This workshop offers strategies for working in and building digital archives and linking composition and the digital humanities.
Katherine Tirabassi,Keene State College,NA,"Linking Archives and Digital Humanities: Identifying Questions, Defining Terms, Exploring Resources, and Creating Digital Archives ",This workshop offers strategies for working in and building digital archives and linking composition and the digital humanities.
Michelle Niestepski,Lasell College,NA,"Linking Archives and Digital Humanities: Identifying Questions, Defining Terms, Exploring Resources, and Creating Digital Archives ",This workshop offers strategies for working in and building digital archives and linking composition and the digital humanities.
Robert Schwegler,University of Rhode Island,NA,"Linking Archives and Digital Humanities: Identifying Questions, Defining Terms, Exploring Resources, and Creating Digital Archives ",This workshop offers strategies for working in and building digital archives and linking composition and the digital humanities.
Michael Neal,Florida State University,NA,"Linking Archives and Digital Humanities: Identifying Questions, Defining Terms, Exploring Resources, and Creating Digital Archives ",This workshop offers strategies for working in and building digital archives and linking composition and the digital humanities.
Jenna Morton-Aiken,University of Rhode Island,NA,"Linking Archives and Digital Humanities: Identifying Questions, Defining Terms, Exploring Resources, and Creating Digital Archives ",This workshop offers strategies for working in and building digital archives and linking composition and the digital humanities.
Tarez Samra Graban,Florida State University,NA,"Linking Archives and Digital Humanities: Identifying Questions, Defining Terms, Exploring Resources, and Creating Digital Archives ",This workshop offers strategies for working in and building digital archives and linking composition and the digital humanities.
Marriott,Grand Ballroom I,NA,Plagiarism as Educational Opportunity: Risks and Innovations ,"An interactive workshop addresses ways of responding to the risks, complexities, and innovations involved with student plagiarism."
Valerie Seiling Jacobs,Columbia University,NA,Plagiarism as Educational Opportunity: Risks and Innovations ,"An interactive workshop addresses ways of responding to the risks, complexities, and innovations involved with student plagiarism."
Robert Yagelski,State University of New York,NA,Plagiarism as Educational Opportunity: Risks and Innovations ,"An interactive workshop addresses ways of responding to the risks, complexities, and innovations involved with student plagiarism."
Carole Papper,Hofstra University,NA,Plagiarism as Educational Opportunity: Risks and Innovations ,"An interactive workshop addresses ways of responding to the risks, complexities, and innovations involved with student plagiarism."
Scott Leonard,Youngstown State University,NA,Plagiarism as Educational Opportunity: Risks and Innovations ,"An interactive workshop addresses ways of responding to the risks, complexities, and innovations involved with student plagiarism."
Gerald Nelms,Wright State University,NA,Plagiarism as Educational Opportunity: Risks and Innovations ,"An interactive workshop addresses ways of responding to the risks, complexities, and innovations involved with student plagiarism."
Tampa CC,Room 22,NA,"Seeking Sources: How International/ELL/SLW Students Search, Read, and Write from Sources ","How do SLW students seek out and make use of sources? A workshop for teachers, to investigate, share, and invent new approaches."
David Cregar,New York University,NA,"Seeking Sources: How International/ELL/SLW Students Search, Read, and Write from Sources ","How do SLW students seek out and make use of sources? A workshop for teachers, to investigate, share, and invent new approaches."
Brian Schwartz,New York University,NA,"Seeking Sources: How International/ELL/SLW Students Search, Read, and Write from Sources ","How do SLW students seek out and make use of sources? A workshop for teachers, to investigate, share, and invent new approaches."
Marina Fedosik,New York University,NA,"Seeking Sources: How International/ELL/SLW Students Search, Read, and Write from Sources ","How do SLW students seek out and make use of sources? A workshop for teachers, to investigate, share, and invent new approaches."
Denice Martone,New York University,NA,"Seeking Sources: How International/ELL/SLW Students Search, Read, and Write from Sources ","How do SLW students seek out and make use of sources? A workshop for teachers, to investigate, share, and invent new approaches."
Marriott,Grand Ballroom J,NA,"Campus Writing Marathons: Cultivating Community, Ownership, and Confidence ","Workshop discusses and practices benefits of writing marathons on campus, including increasing retention through engagement."
Kathleen Lawson,Oakland University,NA,"Campus Writing Marathons: Cultivating Community, Ownership, and Confidence ","Workshop discusses and practices benefits of writing marathons on campus, including increasing retention through engagement."
Christina Hall,Oakland University,NA,"Campus Writing Marathons: Cultivating Community, Ownership, and Confidence ","Workshop discusses and practices benefits of writing marathons on campus, including increasing retention through engagement."
Tampa CC,Room 1,NA,"Three Ways of Starting and Sustaining Conversations about (Teaching) Writing: The Framework for Success in Postsecondary Writing, the WPA Outcomes Statement, and Threshold Concepts ","Using the Framework, Outcomes Statement, and threshold concepts, we discuss strategies for conversations about writing programs."
Susanmarie Harrington,University of Vermont,NA,"Three Ways of Starting and Sustaining Conversations about (Teaching) Writing: The Framework for Success in Postsecondary Writing, the WPA Outcomes Statement, and Threshold Concepts ","Using the Framework, Outcomes Statement, and threshold concepts, we discuss strategies for conversations about writing programs."
Darsie Bowden,DePaul University,NA,"Three Ways of Starting and Sustaining Conversations about (Teaching) Writing: The Framework for Success in Postsecondary Writing, the WPA Outcomes Statement, and Threshold Concepts ","Using the Framework, Outcomes Statement, and threshold concepts, we discuss strategies for conversations about writing programs."
Kathleen Yancey,Florida State University,NA,"Three Ways of Starting and Sustaining Conversations about (Teaching) Writing: The Framework for Success in Postsecondary Writing, the WPA Outcomes Statement, and Threshold Concepts ","Using the Framework, Outcomes Statement, and threshold concepts, we discuss strategies for conversations about writing programs."
Dylan Dryer,University of Maine,NA,"Three Ways of Starting and Sustaining Conversations about (Teaching) Writing: The Framework for Success in Postsecondary Writing, the WPA Outcomes Statement, and Threshold Concepts ","Using the Framework, Outcomes Statement, and threshold concepts, we discuss strategies for conversations about writing programs."
Heidi Estrem,Boise State University,NA,"Three Ways of Starting and Sustaining Conversations about (Teaching) Writing: The Framework for Success in Postsecondary Writing, the WPA Outcomes Statement, and Threshold Concepts ","Using the Framework, Outcomes Statement, and threshold concepts, we discuss strategies for conversations about writing programs."
Beth Brunk-Chavez,University of Texas at El Paso NA,NA,"Three Ways of Starting and Sustaining Conversations about (Teaching) Writing: The Framework for Success in Postsecondary Writing, the WPA Outcomes Statement, and Threshold Concepts ","Using the Framework, Outcomes Statement, and threshold concepts, we discuss strategies for conversations about writing programs."
Marriott,Meeting Room 4,NA,Actually Teaching Style: Upping the Ante on Academic Writing ,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.
Brian Ray,University of Nebraska at Kearney,NA,Actually Teaching Style: Upping the Ante on Academic Writing ,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.
Paul Butler,University of Houston,Style in the Public,Actually Teaching Style: Upping the Ante on Academic Writing ,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.
Students Writing for Wider Audiences and High,Middle,NA,Actually Teaching Style: Upping the Ante on Academic Writing ,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.
How to Vary Style,including Code-Meshing,"I Canâ€™t Even,",Actually Teaching Style: Upping the Ante on Academic Writing ,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.
Brian Ray,University of Nebraska at Kearney,â€˜I Donâ€™t Have Time for all That!â€™: Juggling Style and Other Pedagogies in a Crammed Syllabus,Actually Teaching Style: Upping the Ante on Academic Writing ,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.
Zak Lancaster,Wake Forest University,Style as Stance-Taking: Using Insights from Systemic Functional Linguistics,Actually Teaching Style: Upping the Ante on Academic Writing ,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.
Andrea Olinger,University of Louisville,Corpus Stylistics in the,Actually Teaching Style: Upping the Ante on Academic Writing ,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.
Using Student-Created Corpora,and Corpus Analysis,NA,Actually Teaching Style: Upping the Ante on Academic Writing ,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.
Jonathan Buehl,The Ohio State University,Style and the Professional Writing Curriculum,Actually Teaching Style: Upping the Ante on Academic Writing ,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.
Star Medzerian,Nova Southeastern University,Teaching Sentence Variety as an Invention Strategy and Assessing,Actually Teaching Style: Upping the Ante on Academic Writing ,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.
William FitzGerald,Rutgers Camden,Using Rhetorical Figures in the Composition Classroom,Actually Teaching Style: Upping the Ante on Academic Writing ,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.
Nora Bacon,University of Nebraska at Omaha,Style in Academic Writing,Actually Teaching Style: Upping the Ante on Academic Writing ,This workshop is designed to help new and experienced teachers integrate a dynamic view of style in the composition classroom.
Marriott,Meeting Room 5,NA,"Literacy Narratives: Reflecting on Theory, Practice, and Research ","This workshop examines literacy narratives and how they are enacted in our classrooms, identities, and research."
Kara Poe Alexander,Baylor University,NA,"Literacy Narratives: Reflecting on Theory, Practice, and Research ","This workshop examines literacy narratives and how they are enacted in our classrooms, identities, and research."
Todd Ruecker,University of New Mexico,Literacy Narratives and Place: The Stories of Students Navigating,"Literacy Narratives: Reflecting on Theory, Practice, and Research ","This workshop examines literacy narratives and how they are enacted in our classrooms, identities, and research."
Tabetha Adkins,Texas A&M University-Commerce,Ethnography as Literacy Narrative,"Literacy Narratives: Reflecting on Theory, Practice, and Research ","This workshop examines literacy narratives and how they are enacted in our classrooms, identities, and research."
Beth Daniell,Kennesaw State University,Resisting the Grand Narratives of Literacy,"Literacy Narratives: Reflecting on Theory, Practice, and Research ","This workshop examines literacy narratives and how they are enacted in our classrooms, identities, and research."
Kathryn Trauth Taylor,Miami University,Literacy Narratives from the Margins,"Literacy Narratives: Reflecting on Theory, Practice, and Research ","This workshop examines literacy narratives and how they are enacted in our classrooms, identities, and research."
Donna Dunbar-Odom,Texas A&M University-Commerce,Complicating Teachersâ€™ Reflections: Literacy Narratives and Teacher Training,"Literacy Narratives: Reflecting on Theory, Practice, and Research ","This workshop examines literacy narratives and how they are enacted in our classrooms, identities, and research."
Coretta M. Pittman,Baylor University,Recovering the Literacy Narratives of African American Female Blues Singers,"Literacy Narratives: Reflecting on Theory, Practice, and Research ","This workshop examines literacy narratives and how they are enacted in our classrooms, identities, and research."
Deborah Kuzawa,The Ohio State University,Queering Composition with the Digital Archives of Literacy Narratives,"Literacy Narratives: Reflecting on Theory, Practice, and Research ","This workshop examines literacy narratives and how they are enacted in our classrooms, identities, and research."
Bronwyn T. Williams,University of Louisville,From Shakespeare to Office Space: Connecting Narratives to Literacy as a Social Practice,"Literacy Narratives: Reflecting on Theory, Practice, and Research ","This workshop examines literacy narratives and how they are enacted in our classrooms, identities, and research."
Catherine St. Pierre,Ohio State University/Coastal Carolina Community,NA,"Literacy Narratives: Reflecting on Theory, Practice, and Research ","This workshop examines literacy narratives and how they are enacted in our classrooms, identities, and research."
College,Jacksonville,Medium and Meaning: Defining and Analyzing Literacy Narratives,"Literacy Narratives: Reflecting on Theory, Practice, and Research ","This workshop examines literacy narratives and how they are enacted in our classrooms, identities, and research."
T. J. Geiger,Lamar University,Literacy Narratives and Undergraduate Research: Students Working with Source Material,"Literacy Narratives: Reflecting on Theory, Practice, and Research ","This workshop examines literacy narratives and how they are enacted in our classrooms, identities, and research."
Kara Poe Alexander,Baylor University,From Story to Analysis: Reflection and Uptake in the Literacy Narrative Assignment,"Literacy Narratives: Reflecting on Theory, Practice, and Research ","This workshop examines literacy narratives and how they are enacted in our classrooms, identities, and research."
Marriott,Meeting Room 6,NA,Basics of Coding: Analyzing Data and Reporting Findings ,This half-day workshop is designed to help researchers overcome challenges they may encounter when they code language data.
Rebecca Moore Howard,Syracuse University,NA,Basics of Coding: Analyzing Data and Reporting Findings ,This half-day workshop is designed to help researchers overcome challenges they may encounter when they code language data.
Jason Swarts,North Carolina State University,NA,Basics of Coding: Analyzing Data and Reporting Findings ,This half-day workshop is designed to help researchers overcome challenges they may encounter when they code language data.
Jo Mackiewicz,Iowa State University,NA,Basics of Coding: Analyzing Data and Reporting Findings ,This half-day workshop is designed to help researchers overcome challenges they may encounter when they code language data.
Karen Lunsford,University of California-Santa Barbara NA,NA,Basics of Coding: Analyzing Data and Reporting Findings ,This half-day workshop is designed to help researchers overcome challenges they may encounter when they code language data.
Marriott,Meeting Room 7,NA,Engaging the Global in the Teaching of Writing ,"Led by facilitators from six countries, participants will share teaching activities/ideas on global and cross-cultural issues."
Clarissa Bezerra,Casa Thomas Jefferson,NA,Engaging the Global in the Teaching of Writing ,"Led by facilitators from six countries, participants will share teaching activities/ideas on global and cross-cultural issues."
Rita Nezami,Stony Brook University,NA,Engaging the Global in the Teaching of Writing ,"Led by facilitators from six countries, participants will share teaching activities/ideas on global and cross-cultural issues."
Jay Jordan,University of Utah,NA,Engaging the Global in the Teaching of Writing ,"Led by facilitators from six countries, participants will share teaching activities/ideas on global and cross-cultural issues."
Debarati Dutta,University of North Carolina,NA,Engaging the Global in the Teaching of Writing ,"Led by facilitators from six countries, participants will share teaching activities/ideas on global and cross-cultural issues."
Iswari Pandey,California State University,NA,Engaging the Global in the Teaching of Writing ,"Led by facilitators from six countries, participants will share teaching activities/ideas on global and cross-cultural issues."
Tanya Lau,University of Sydney,NA,Engaging the Global in the Teaching of Writing ,"Led by facilitators from six countries, participants will share teaching activities/ideas on global and cross-cultural issues."
Maha Bali,American University of Cairo,NA,Engaging the Global in the Teaching of Writing ,"Led by facilitators from six countries, participants will share teaching activities/ideas on global and cross-cultural issues."
LuMing Mao,Miami University,NA,Engaging the Global in the Teaching of Writing ,"Led by facilitators from six countries, participants will share teaching activities/ideas on global and cross-cultural issues."
Keith Lloyd,Kent State University,NA,Engaging the Global in the Teaching of Writing ,"Led by facilitators from six countries, participants will share teaching activities/ideas on global and cross-cultural issues."
Eugene Hammond,State University of New York at Stony Brook,NA,Engaging the Global in the Teaching of Writing ,"Led by facilitators from six countries, participants will share teaching activities/ideas on global and cross-cultural issues."
Ghanashyam Sharma,Stony Brook University,NA,Engaging the Global in the Teaching of Writing ,"Led by facilitators from six countries, participants will share teaching activities/ideas on global and cross-cultural issues."
Marriott,Meeting Room 8,NA,Faculty Matters: The Rewards and Risks of Online Writing Instruction ,A hands-on pedagogy workshop that uses the Online Writing Instruction Principles to demonstrate effective online course design.
Diane Martinez,Western Carolina University,NA,Faculty Matters: The Rewards and Risks of Online Writing Instruction ,A hands-on pedagogy workshop that uses the Online Writing Instruction Principles to demonstrate effective online course design.
Diane Martinez,Western Carolina University,OWI Principles and Effective Practices,Faculty Matters: The Rewards and Risks of Online Writing Instruction ,A hands-on pedagogy workshop that uses the Online Writing Instruction Principles to demonstrate effective online course design.
Heidi Harris,University of Arkansas at Little Rock,OWI Principles and Effective Practices,Faculty Matters: The Rewards and Risks of Online Writing Instruction ,A hands-on pedagogy workshop that uses the Online Writing Instruction Principles to demonstrate effective online course design.
Jason Snart,College of DuPage,OWI Principles and Effective Practices,Faculty Matters: The Rewards and Risks of Online Writing Instruction ,A hands-on pedagogy workshop that uses the Online Writing Instruction Principles to demonstrate effective online course design.
Diane Martinez,Western Carolina University,OWI Principles and Effective Practices,Faculty Matters: The Rewards and Risks of Online Writing Instruction ,A hands-on pedagogy workshop that uses the Online Writing Instruction Principles to demonstrate effective online course design.
Scott Warnock,Drexel University,NA,Faculty Matters: The Rewards and Risks of Online Writing Instruction ,A hands-on pedagogy workshop that uses the Online Writing Instruction Principles to demonstrate effective online course design.
Beth Hewett,The Pennsylvania State University,NA,Faculty Matters: The Rewards and Risks of Online Writing Instruction ,A hands-on pedagogy workshop that uses the Online Writing Instruction Principles to demonstrate effective online course design.
Sushil Oswal,University of Washington,NA,Faculty Matters: The Rewards and Risks of Online Writing Instruction ,A hands-on pedagogy workshop that uses the Online Writing Instruction Principles to demonstrate effective online course design.
Kevin Eric DePew,Old Dominion University,NA,Faculty Matters: The Rewards and Risks of Online Writing Instruction ,A hands-on pedagogy workshop that uses the Online Writing Instruction Principles to demonstrate effective online course design.
Marriott,Meeting Room 11,NA,"Countering Stereotype Threat in Writing Classes, Programs, and Centers ",This workshop examines stereotype threat research and interventions for faculty and WPAs who want to mitigate its negative effects.
Vanessa Sohan,Florida International University,NA,"Countering Stereotype Threat in Writing Classes, Programs, and Centers ",This workshop examines stereotype threat research and interventions for faculty and WPAs who want to mitigate its negative effects.
Glenn Hutchinson,Florida International University,NA,"Countering Stereotype Threat in Writing Classes, Programs, and Centers ",This workshop examines stereotype threat research and interventions for faculty and WPAs who want to mitigate its negative effects.
Isis Artze-Vega,Florida International University,NA,"Countering Stereotype Threat in Writing Classes, Programs, and Centers ",This workshop examines stereotype threat research and interventions for faculty and WPAs who want to mitigate its negative effects.
Paula Gillespie,Florida International University,NA,"Countering Stereotype Threat in Writing Classes, Programs, and Centers ",This workshop examines stereotype threat research and interventions for faculty and WPAs who want to mitigate its negative effects.
Jessica Caceres,Auburn University,NA,"Countering Stereotype Threat in Writing Classes, Programs, and Centers ",This workshop examines stereotype threat research and interventions for faculty and WPAs who want to mitigate its negative effects.
Kimberly Harrison,Florida International University,NA,"Countering Stereotype Threat in Writing Classes, Programs, and Centers ",This workshop examines stereotype threat research and interventions for faculty and WPAs who want to mitigate its negative effects.
Shevaun Watson,University of Wisconsin-Eau Claire,NA,"Countering Stereotype Threat in Writing Classes, Programs, and Centers ",This workshop examines stereotype threat research and interventions for faculty and WPAs who want to mitigate its negative effects.
Vernon Dickson,Florida International University,NA,"Countering Stereotype Threat in Writing Classes, Programs, and Centers ",This workshop examines stereotype threat research and interventions for faculty and WPAs who want to mitigate its negative effects.
Paul Feigenbaum,Florida International University,NA,"Countering Stereotype Threat in Writing Classes, Programs, and Centers ",This workshop examines stereotype threat research and interventions for faculty and WPAs who want to mitigate its negative effects.
Tampa CC,Room 23,NA,Visible Futures: Building Success beyond the Curriculum in Rhetoric and Writing Graduate Programs ,Join us to build inclusive excellence into your graduate program; walk away with an action plan for your campus!
Terese Monberg,Michigan State University,NA,Visible Futures: Building Success beyond the Curriculum in Rhetoric and Writing Graduate Programs ,Join us to build inclusive excellence into your graduate program; walk away with an action plan for your campus!
Beth Keller,Michigan State University,NA,Visible Futures: Building Success beyond the Curriculum in Rhetoric and Writing Graduate Programs ,Join us to build inclusive excellence into your graduate program; walk away with an action plan for your campus!
Trixie Smith,Michigan State University,NA,Visible Futures: Building Success beyond the Curriculum in Rhetoric and Writing Graduate Programs ,Join us to build inclusive excellence into your graduate program; walk away with an action plan for your campus!
Malea Powell,Michigan State University,NA,Visible Futures: Building Success beyond the Curriculum in Rhetoric and Writing Graduate Programs ,Join us to build inclusive excellence into your graduate program; walk away with an action plan for your campus!
William Hart-Davidson,Michigan State University,NA,Visible Futures: Building Success beyond the Curriculum in Rhetoric and Writing Graduate Programs ,Join us to build inclusive excellence into your graduate program; walk away with an action plan for your campus!
Tampa CC,Room 7,NA,"Multimodal, Embodied Pedagogy for the 21st Century ",An all-day workshop that challenges participants to risk theorizing and practicing marginalized modalities and intelligences.
June Griffin,University of Nebraska-Lincoln,Get Outta Yo Mind: Dance as Rhetoric,"Multimodal, Embodied Pedagogy for the 21st Century ",An all-day workshop that challenges participants to risk theorizing and practicing marginalized modalities and intelligences.
Faith Kurtyka,Creighton University,Get Outta Yo Mind: Dance as Rhetoric,"Multimodal, Embodied Pedagogy for the 21st Century ",An all-day workshop that challenges participants to risk theorizing and practicing marginalized modalities and intelligences.
Shawn Garrett,Friends Academy,Embodied Rhetoric: Improvisation and Invention,"Multimodal, Embodied Pedagogy for the 21st Century ",An all-day workshop that challenges participants to risk theorizing and practicing marginalized modalities and intelligences.
Lauren Esposito,State University of New York,Embodied Rhetoric: Improvisation and Invention,"Multimodal, Embodied Pedagogy for the 21st Century ",An all-day workshop that challenges participants to risk theorizing and practicing marginalized modalities and intelligences.
David Hyman,Lehman College,Teaching to the Killer Riff: Writing as Beats,"Multimodal, Embodied Pedagogy for the 21st Century ",An all-day workshop that challenges participants to risk theorizing and practicing marginalized modalities and intelligences.
Bob Lazaroff,Nassau County Community College,NA,"Multimodal, Embodied Pedagogy for the 21st Century ",An all-day workshop that challenges participants to risk theorizing and practicing marginalized modalities and intelligences.
New York,Garden City,Teaching to the Killer Riff: Writing as Beats,"Multimodal, Embodied Pedagogy for the 21st Century ",An all-day workshop that challenges participants to risk theorizing and practicing marginalized modalities and intelligences.
Nicole Galante,State University of New York,The Influence of Anxiety: Kairos and Karaoke,"Multimodal, Embodied Pedagogy for the 21st Century ",An all-day workshop that challenges participants to risk theorizing and practicing marginalized modalities and intelligences.
Peter Khost,Stony Brook University,The Influence of Anxiety: Kairos and Karaoke,"Multimodal, Embodied Pedagogy for the 21st Century ",An all-day workshop that challenges participants to risk theorizing and practicing marginalized modalities and intelligences.
Tampa CC,Room 5,NA,"Feminist Workshop: Teaching, Service, and the Material Conditions of Labor ",Feminist Workshop participants will work to identify ways they do and can engage in feminist labor within academia.
Lauren Connolly,Lewis-Clark State College,NA,"Feminist Workshop: Teaching, Service, and the Material Conditions of Labor ",Feminist Workshop participants will work to identify ways they do and can engage in feminist labor within academia.
Jennifer Nish,American University of Beirut,NA,"Feminist Workshop: Teaching, Service, and the Material Conditions of Labor ",Feminist Workshop participants will work to identify ways they do and can engage in feminist labor within academia.
April Cobos,Old Dominion University,NA,"Feminist Workshop: Teaching, Service, and the Material Conditions of Labor ",Feminist Workshop participants will work to identify ways they do and can engage in feminist labor within academia.
Patty Wilde,University of New Hampshire,NA,"Feminist Workshop: Teaching, Service, and the Material Conditions of Labor ",Feminist Workshop participants will work to identify ways they do and can engage in feminist labor within academia.
April Conway,Bowling Green State University,NA,"Feminist Workshop: Teaching, Service, and the Material Conditions of Labor ",Feminist Workshop participants will work to identify ways they do and can engage in feminist labor within academia.
Lydia McDermott,Whitman College,NA,"Feminist Workshop: Teaching, Service, and the Material Conditions of Labor ",Feminist Workshop participants will work to identify ways they do and can engage in feminist labor within academia.
Roseanne Gatto,St Johnâ€™s University,NA,"Feminist Workshop: Teaching, Service, and the Material Conditions of Labor ",Feminist Workshop participants will work to identify ways they do and can engage in feminist labor within academia.
Shannon Mondor,College of the Redwoods,NA,"Feminist Workshop: Teaching, Service, and the Material Conditions of Labor ",Feminist Workshop participants will work to identify ways they do and can engage in feminist labor within academia.
Moushumi Biswas,University of Texas at El Paso,NA,"Feminist Workshop: Teaching, Service, and the Material Conditions of Labor ",Feminist Workshop participants will work to identify ways they do and can engage in feminist labor within academia.
Emma Howes,University of Massachusetts,NA,"Feminist Workshop: Teaching, Service, and the Material Conditions of Labor ",Feminist Workshop participants will work to identify ways they do and can engage in feminist labor within academia.
Marriott,Grand Ballroom C,NA,"Council on Basic Writing Preconvention Workshop: Risky Relationships in Placement, Teaching and the Professional Organization (Sponsored by the Council of Basic Writing) ","Workshop examines risks and rewards of BW relationships in placement, student and instructor lives, and professional organizations."
Heidi Estrem,Boise State University,Situated Placement: The Rewards of Developing Placement Processes,"Council on Basic Writing Preconvention Workshop: Risky Relationships in Placement, Teaching and the Professional Organization (Sponsored by the Council of Basic Writing) ","Workshop examines risks and rewards of BW relationships in placement, student and instructor lives, and professional organizations."
Marcia Buell,Northeastern Illinois University,The Risks and Rewards of Complex Lives: Balancing Basic Writing with Instructor,"Council on Basic Writing Preconvention Workshop: Risky Relationships in Placement, Teaching and the Professional Organization (Sponsored by the Council of Basic Writing) ","Workshop examines risks and rewards of BW relationships in placement, student and instructor lives, and professional organizations."
