presentation_title,speaker,institution,session_title,time,room,building,year,society
NA,Irina Botea,School of the Art Inst. of Chicago,"Remains of Utopia: Communist Kitsch, Propaganda, and Sentimental Artifacts in Postcommunist Romania",12:00 noon–1:15 p.m.,Michigan B,Sheraton Chicago,2014,MLA
NA,David Dulceany,Duke Univ.,"Remains of Utopia: Communist Kitsch, Propaganda, and Sentimental Artifacts in Postcommunist Romania",12:00 noon–1:15 p.m.,Michigan B,Sheraton Chicago,2014,MLA
NA,Gene Tanta,Univ. of California,"Remains of Utopia: Communist Kitsch, Propaganda, and Sentimental Artifacts in Postcommunist Romania",12:00 noon–1:15 p.m.,Michigan B,Sheraton Chicago,2014,MLA
NA,Mirela Tanta,Univ. of Illinois,"Remains of Utopia: Communist Kitsch, Propaganda, and Sentimental Artifacts in Postcommunist Romania",12:00 noon–1:15 p.m.,Michigan B,Sheraton Chicago,2014,MLA
Manual Labor and Well-Being in Rousseau,Masano Yamashita,Univ. of Colorado,Work as Experience in Late-Eighteenth-Century France,12:00 noon–1:15 p.m.,Columbus,Sheraton Chicago,2014,MLA
Rétif apprentif,Laurence Mall,NA,Work as Experience in Late-Eighteenth-Century France,12:00 noon–1:15 p.m.,Columbus,Sheraton Chicago,2014,MLA
The Work of  'Négoce' in Mosneron's Journal de mes voyages,Charlotte M. Daniels,Bowdoin Coll.,Work as Experience in Late-Eighteenth-Century France,12:00 noon–1:15 p.m.,Columbus,Sheraton Chicago,2014,MLA
"The Game of Canes in Early Modern Spain: Popular or Aristocratic Maurophilia?"" Javier Irigoyen-Garcia, Univ. of Illinois, Urbana",NA,NA,Revisiting Urban Popular Culture in Early Modern Spain,12:00 noon–1:15 p.m.,Ohio,Sheraton Chicago,2014,MLA
Baroque Theater and the Economics of Popular Culture,Alejandro Garcia-Reidy,Syracuse Univ.,Revisiting Urban Popular Culture in Early Modern Spain,12:00 noon–1:15 p.m.,Ohio,Sheraton Chicago,2014,MLA
"A Theory of Madrid: The Emergence of the Popular Public Sphere, 1561–1643",Javier Castro-Ibaseta,Wesleyan Univ.,Revisiting Urban Popular Culture in Early Modern Spain,12:00 noon–1:15 p.m.,Ohio,Sheraton Chicago,2014,MLA
"Visible Rhymes, Inaudible Echoes: Script and Sound in the Chinese Poetry of Modern Japan",Matthew Fraleigh,Brandeis Univ.,Chinese Script Worlds and the Problems of Translation,12:00 noon–1:15 p.m.,Huron,Sheraton Chicago,2014,MLA
The Alphabetic Chinese: The Crisis of the Chinese Script and 	the Birth of Gwoyeu Romatzyh,Yurou Zhong,Univ. of Toronto,Chinese Script Worlds and the Problems of Translation,12:00 noon–1:15 p.m.,Huron,Sheraton Chicago,2014,MLA
Chinese Heteroglossia: Ng Kim Chew and the Fractured Languages of the Chinese Diaspora in Southeast Asia,Carlos Rojas,Duke Univ.,Chinese Script Worlds and the Problems of Translation,12:00 noon–1:15 p.m.,Huron,Sheraton Chicago,2014,MLA
NA,Angela Bennett Segler,New York Univ.,How to Do Things with New Media in Medieval Studies,12:00 noon–1:15 p.m.,Huron,Chicago Marriott,2014,MLA
NA,Maria Sachiko Cecire,Bard Coll.,How to Do Things with New Media in Medieval Studies,12:00 noon–1:15 p.m.,Huron,Chicago Marriott,2014,MLA
NA,Michael Sarabia,Univ. of Iowa,How to Do Things with New Media in Medieval Studies,12:00 noon–1:15 p.m.,Huron,Chicago Marriott,2014,MLA
NA,Melissa Adams-Campbell,Northern Illinois Univ.,Teaching Racist Texts: Pedagogical Challenges,12:00 noon–1:15 p.m.,Clark,Chicago Marriott,2014,MLA
NA,Alexander Corey,Univ. of Colorado,Teaching Racist Texts: Pedagogical Challenges,12:00 noon–1:15 p.m.,Clark,Chicago Marriott,2014,MLA
NA,Brigitte Fielder,Univ. of Wisconsin,Teaching Racist Texts: Pedagogical Challenges,12:00 noon–1:15 p.m.,Clark,Chicago Marriott,2014,MLA
NA,Sarah Mesle,Univ. of California,Teaching Racist Texts: Pedagogical Challenges,12:00 noon–1:15 p.m.,Clark,Chicago Marriott,2014,MLA
NA,Erich Nunn,Auburn Univ.,Teaching Racist Texts: Pedagogical Challenges,12:00 noon–1:15 p.m.,Clark,Chicago Marriott,2014,MLA
"Civil Rights, a Dream Deferred?"" Soyica Diggs Colbert, Dartmouth Coll.",NA,NA,"Art, Activism, and Post-Civil-Rights Black Identity",12:00 noon–1:15 p.m.,Purdue-Wisconsin,Chicago Marriott,2014,MLA
"A Band of Angels of Art: Nina Simone, Lorraine Hansberry, and The Politics of Friendship",Salamishah Tillet,Univ. of Pennsylvania,"Art, Activism, and Post-Civil-Rights Black Identity",12:00 noon–1:15 p.m.,Purdue-Wisconsin,Chicago Marriott,2014,MLA
James Baldwin and the Making of Late Style,Dagmawi Woubshet,Cornell Univ.,"Art, Activism, and Post-Civil-Rights Black Identity",12:00 noon–1:15 p.m.,Purdue-Wisconsin,Chicago Marriott,2014,MLA
"'Where You Gon Be Standin?': Spatial Logics, Civil Rights Discourse, and the Poetics of Black Lesbian Identity",GerShun Avilez,Yale Univ.,"Art, Activism, and Post-Civil-Rights Black Identity",12:00 noon–1:15 p.m.,Purdue-Wisconsin,Chicago Marriott,2014,MLA
Victorian Science and Enlightenment Curiosity:  John Morley and the Anticolonialism of Diderot and Raynal,Sunil M. Agnani,NA,Genealogies of Anticolonialism,12:00 noon–1:15 p.m.,Armitage,Chicago Marriott,2014,MLA
The Interminable 'Moment of Arrival': Ambedkar and the Partition of India,Nasser Mufti,Univ. of Illinois,Genealogies of Anticolonialism,12:00 noon–1:15 p.m.,Armitage,Chicago Marriott,2014,MLA
"Herbert Spencer, Anticolonialist",James Daniel Elam,Northwestern Univ.,Genealogies of Anticolonialism,12:00 noon–1:15 p.m.,Armitage,Chicago Marriott,2014,MLA
"An Italian in Peking:  Antonioni's Chung Kuo, Cina",Mary Ann McDonald Carolan,Fairfield Univ.,"Outsiders In, Insiders Out in Italian Cinema and Literature",12:00 noon–1:15 p.m.,Superior A,Sheraton Chicago,2014,MLA
"Lo sguardo turco bagnato in Bagno turco (Ferzan Özpetek, 1997)",Ryan Calabretta-Sajder,NA,"Outsiders In, Insiders Out in Italian Cinema and Literature",12:00 noon–1:15 p.m.,Superior A,Sheraton Chicago,2014,MLA
"Almeno non hai un nome da negra:   Race, Gender in National Belonging in Laila Wadia's Amiche per la pelle",Sole Anatrone,Univ. of California,"Outsiders In, Insiders Out in Italian Cinema and Literature",12:00 noon–1:15 p.m.,Superior A,Sheraton Chicago,2014,MLA
Obinkaram Echewa's I Saw the Sky Catch Fire: Politicization of the Female Body and Theories of Agency,Naminata Diabate,Cornell Univ.,The State in African Literatures,12:00 noon–1:15 p.m.,Colorado,Sheraton Chicago,2014,MLA
Who Are the People? Restricting Polyphonic Narratives of State in Chimamanda Ngozi Adichie's Half of a Yellow Sun (2006) and Aminatta Forna's The Memory of Love,Maya Ganapathy,Washington Univ. in St. Louis,The State in African Literatures,12:00 noon–1:15 p.m.,Colorado,Sheraton Chicago,2014,MLA
"Globalism/Localism, State, and (Trans)National Identities in the Literature of Equatorial Guinea",Clément Akassi,Howard Univ.,The State in African Literatures,12:00 noon–1:15 p.m.,Colorado,Sheraton Chicago,2014,MLA
Accessing the State of Things: Failure and Nuruddin Farah's Fiction,Amanda Waugh,Univ. of Massachusetts,The State in African Literatures,12:00 noon–1:15 p.m.,Colorado,Sheraton Chicago,2014,MLA
"'Bundles, Fragrant Cheese, and Unimaginable Sausages': M. E. Ravage's Composite American and Early-Twentieth-Century Americanization",Cristina Stanciu,Virginia Commonwealth Univ.,Literary Sociologies of Race and Ethnicity,12:00 noon–1:15 p.m.,Lincolnshire,Chicago Marriott,2014,MLA
Chester Himes and Horace Cayton: The Strange Fruit of Embattled Fear in Lonely Crusade,Dominick Rolle,Emory Univ.,Literary Sociologies of Race and Ethnicity,12:00 noon–1:15 p.m.,Lincolnshire,Chicago Marriott,2014,MLA
"Decaying Logics of the Color Line: Jean Toomer, Charles S. Johnson, and the Function of Poor Whites",Christina Belcher,Univ. of Southern California,Literary Sociologies of Race and Ethnicity,12:00 noon–1:15 p.m.,Lincolnshire,Chicago Marriott,2014,MLA
"Houses and Hysteresis: Status Symbols and Temporality in Dorothy West's The Living Is Easy and Paule Marshall's Brown Girl, Brownstones",Elda María Román,Stanford Univ.,Literary Sociologies of Race and Ethnicity,12:00 noon–1:15 p.m.,Lincolnshire,Chicago Marriott,2014,MLA
Seeing Is Not Believing: How Cognitive Science Can Redeem Popular Film,Jennifer M. William,Purdue Univ.,Cognitive Approaches to Film,12:00 noon–1:15 p.m.,Chicago X,Sheraton Chicago,2014,MLA
Journeys of Imagination: Embodied Metaphors of Cinematic Absorption,Jake Ivan Dole,Georgia State Univ.,Cognitive Approaches to Film,12:00 noon–1:15 p.m.,Chicago X,Sheraton Chicago,2014,MLA
Exposition in Narrative Cinema,Jason Gendler,Univ. of California,Cognitive Approaches to Film,12:00 noon–1:15 p.m.,Chicago X,Sheraton Chicago,2014,MLA
Traversing Narrative Space in Hollywood Films,James E. Cutting,Cornell Univ.,Cognitive Approaches to Film,12:00 noon–1:15 p.m.,Chicago X,Sheraton Chicago,2014,MLA
Constantinople and the Making of Vita Sackville-West,Yvonne Ivory,Univ. of South Carolina,Constantinople/Istanbul: East/West,12:00 noon–1:15 p.m.,Ontario,Sheraton Chicago,2014,MLA
'Moonlight on the Bosphorus': Istanbul Cityscapes Romanticized and Commodified in James Bond Films,Mihaela P. Harper,Bilkent Univ.; Andrew J. Ploeg,Constantinople/Istanbul: East/West,12:00 noon–1:15 p.m.,Ontario,Sheraton Chicago,2014,MLA
Istanbul and Nostalgia in Julia Kristeva's Murder in Byzantium (2004),Ayse Naz Bulamur,Bogazici Univ.,Constantinople/Istanbul: East/West,12:00 noon–1:15 p.m.,Ontario,Sheraton Chicago,2014,MLA
"Manuscript, Print, and Aura in the Bordeaux Copy of Montaigne's De l'exercitation",Katie Chenoweth,Princeton Univ.,Animation in Early Modern French Literature,12:00 noon–1:15 p.m.,Parlor F,Sheraton Chicago,2014,MLA
"Baroques:  Dance, Machines, and Metamorphosis",Virginia K. Preston,Stanford Univ.,Animation in Early Modern French Literature,12:00 noon–1:15 p.m.,Parlor F,Sheraton Chicago,2014,MLA
The Animated Stage: Toward a New Approach to French Classical Tragedy,Sylvaine Guyot,Harvard Univ.,Animation in Early Modern French Literature,12:00 noon–1:15 p.m.,Parlor F,Sheraton Chicago,2014,MLA
"Variance, Miscellaneity, and the Experience of Medieval Literature",Arthur Bahr,Massachusetts Inst. of Tech.,Manuscript Studies and Cultural History,12:00 noon–1:15 p.m.,Mississippi,Sheraton Chicago,2014,MLA
Medieval Italian and French Literature: Toward a Manuscript History,Christopher Kleinhenz,Univ. of Wisconsin,Manuscript Studies and Cultural History,12:00 noon–1:15 p.m.,Mississippi,Sheraton Chicago,2014,MLA
The Early Modern Book: Bibliographical Theory and Practice,Seth Lerer,Univ. of California,Manuscript Studies and Cultural History,12:00 noon–1:15 p.m.,Mississippi,Sheraton Chicago,2014,MLA
'A Tenth-Rate Toussaint L'Ouverture': Beckett and the Colonial Gag,Nico Israel,Hunter Coll.,Beckett and the Politics of Allegory,12:00 noon–1:15 p.m.,Chicago H,Chicago Marriott,2014,MLA
"Beckett, Dog Food, Advertising",Martin Harries,NA,Beckett and the Politics of Allegory,12:00 noon–1:15 p.m.,Chicago H,Chicago Marriott,2014,MLA
'That Glorious Double-Entry': Beckett's Intermittent Allegories of Authority in the Later Plays,Lawrence Switzky,Univ. of Toronto,Beckett and the Politics of Allegory,12:00 noon–1:15 p.m.,Chicago H,Chicago Marriott,2014,MLA
Realizing a Materialist Literary Criticism: Hardt and Negri on the Politics of Literary Inquiry,Matt Applegate,Binghamton Univ.,Reading with Negri,12:00 noon–1:15 p.m.,Cook,Chicago Marriott,2014,MLA
"Reading beyond Bartleby: Herman Melville's Other Short Fiction, Critical Theory, and Liberatory Politics",Bob Hodges,Univ. of Washington,Reading with Negri,12:00 noon–1:15 p.m.,Cook,Chicago Marriott,2014,MLA
"Without Dialectics There Is No Revolution: Reading Negri, Jameson, and Marx",Robert Faivre,Adirondack Community Coll.,Reading with Negri,12:00 noon–1:15 p.m.,Cook,Chicago Marriott,2014,MLA
Civilians and Bodies,Sarah Cole,Columbia Univ.,1914 in 2014: Body of War,12:00 noon–1:15 p.m.,McHenry,Chicago Marriott,2014,MLA
"'My Hands Were Loath and Cold': Wounding, Feeling, and Fragility in World War I Literature",Santanu Das,Univ. of London,1914 in 2014: Body of War,12:00 noon–1:15 p.m.,McHenry,Chicago Marriott,2014,MLA
"Saving Face:  World War I, Plastic Surgery, and the Modern Beauty Revolution",David M. Lubin,Wake Forest Univ.,1914 in 2014: Body of War,12:00 noon–1:15 p.m.,McHenry,Chicago Marriott,2014,MLA
NA,NA,NA,"Been There, Done That, What Now? Rejuvenation in Late Career",12:00 noon–1:15 p.m.,Indiana-Iowa,Chicago Marriott,2014,MLA
Narrative Testimony in Vulnerable Times: Ian McEwan's Black Dogs and Vergilian Pastoral,Judith Ailsa Seaboyer,NA,The Work of the Pastoral Mode Today,12:00 noon–1:15 p.m.,Northwestern–Ohio State,Chicago Marriott,2014,MLA
Re-creating Eden: Pastoral Postapocalypse and Utopian Engineering in the Fiction of Sam Taylor,Caroline Edwards,Univ. of Lincoln,The Work of the Pastoral Mode Today,12:00 noon–1:15 p.m.,Northwestern–Ohio State,Chicago Marriott,2014,MLA
'The Hugeness of This Space': Damon Galgut and the South African Pastoral,Mark Deggan,Univ. of British Columbia,The Work of the Pastoral Mode Today,12:00 noon–1:15 p.m.,Northwestern–Ohio State,Chicago Marriott,2014,MLA
NA,Jessica J. Beard,Univ. of California,"Radical Curators, Vulnerable Genres: Lost Histories of Collecting, Editing, Bibliography",12:00 noon–1:15 p.m.,Michigan–Michigan State,Chicago Marriott,2014,MLA
NA,Alex Black,Cornell Univ.,"Radical Curators, Vulnerable Genres: Lost Histories of Collecting, Editing, Bibliography",12:00 noon–1:15 p.m.,Michigan–Michigan State,Chicago Marriott,2014,MLA
NA,Jane Greenway Carr,New York Univ.,"Radical Curators, Vulnerable Genres: Lost Histories of Collecting, Editing, Bibliography",12:00 noon–1:15 p.m.,Michigan–Michigan State,Chicago Marriott,2014,MLA
NA,Ellen Gruber Garvey,New Jersey City Univ.,"Radical Curators, Vulnerable Genres: Lost Histories of Collecting, Editing, Bibliography",12:00 noon–1:15 p.m.,Michigan–Michigan State,Chicago Marriott,2014,MLA
NA,Laura Helton,Univ. of Virginia,"Radical Curators, Vulnerable Genres: Lost Histories of Collecting, Editing, Bibliography",12:00 noon–1:15 p.m.,Michigan–Michigan State,Chicago Marriott,2014,MLA
NA,Courtney Thorsson,Univ. of Oregon,"Radical Curators, Vulnerable Genres: Lost Histories of Collecting, Editing, Bibliography",12:00 noon–1:15 p.m.,Michigan–Michigan State,Chicago Marriott,2014,MLA
NA,Rebecca Elizabeth Biron,Dartmouth Coll.,Mexican Studies and the Return of the PRI,12:00 noon–1:15 p.m.,Mayfair,Sheraton Chicago,2014,MLA
NA,Debra Ann Castillo,Cornell Univ.,Mexican Studies and the Return of the PRI,12:00 noon–1:15 p.m.,Mayfair,Sheraton Chicago,2014,MLA
NA,Oswaldo Estrada,Univ. of North Carolina,Mexican Studies and the Return of the PRI,12:00 noon–1:15 p.m.,Mayfair,Sheraton Chicago,2014,MLA
NA,Emily Hind,Univ. of Wyoming,Mexican Studies and the Return of the PRI,12:00 noon–1:15 p.m.,Mayfair,Sheraton Chicago,2014,MLA
NA,Robert McKee Irwin,Univ. of California,Mexican Studies and the Return of the PRI,12:00 noon–1:15 p.m.,Mayfair,Sheraton Chicago,2014,MLA
NA,Jose Ramon Ruisanchez Serra,Univ. of Houston,Mexican Studies and the Return of the PRI,12:00 noon–1:15 p.m.,Mayfair,Sheraton Chicago,2014,MLA
"Cutting Out the Castle Quicksand: Scott's Bride, Donizetti's Lucia, and the 'Personally Furious' Ayn Rand",Shoshana Milgram Knapp,Virginia Polytechnic Inst. and State Univ.,Sir Walter Scott and Music,12:00 noon–1:15 p.m.,Sheffield,Chicago Marriott,2014,MLA
'Drifting through the Intellectual Atmosphere' from Scott's Old Morality to Liszt's Hexameron,Catherine Ludlow,Western Illinois Univ.,Sir Walter Scott and Music,12:00 noon–1:15 p.m.,Sheffield,Chicago Marriott,2014,MLA
"Walter Scott, British Identity, and International Grand Opera: Isidore de Lara's Amy Robsart (1893)",Tommaso Sabbatini,Univ. of Chicago,Sir Walter Scott and Music,12:00 noon–1:15 p.m.,Sheffield,Chicago Marriott,2014,MLA
"Coteries and Common Readers in Jonson's 'Ode to Himself,'"" Cordelia Zukerman, Univ. of Michigan, Ann Arbor",NA,NA,Networks of Influence in Seventeenth-Century English Poetry,12:00 noon–1:15 p.m.,Great America,Chicago Marriott,2014,MLA
"Literary Ambition and the Coterie, Especially with Regard to Marvell",Andrew Mattison,Univ. of Toledo,Networks of Influence in Seventeenth-Century English Poetry,12:00 noon–1:15 p.m.,Great America,Chicago Marriott,2014,MLA
Shakespeare's 'Lucrece' in the Revolution,Adam G. Hooks,Univ. of Iowa,Networks of Influence in Seventeenth-Century English Poetry,12:00 noon–1:15 p.m.,Great America,Chicago Marriott,2014,MLA
"'Now with Treble Soft,'"" Jonathan Culler, Cornell Univ.",NA,NA,The Romantic Now,12:00 noon–1:15 p.m.,Chicago D,Chicago Marriott,2014,MLA
What's in a Name? Romanticism and Terror,David E. Simpson,Univ. of California,The Romantic Now,12:00 noon–1:15 p.m.,Chicago D,Chicago Marriott,2014,MLA
Taunting with Gavroche: Activist Deployments of Poetry,Lyn Hejinian,Univ. of California,The Romantic Now,12:00 noon–1:15 p.m.,Chicago D,Chicago Marriott,2014,MLA
'I Write the Broken Line': Discursive Truth Telling in Antjie Krog's Country of My Skull,Alaina Kaus,Univ. of Connecticut,Women and the Language and Literature of Human Rights,12:00 noon–1:15 p.m.,Kane,Chicago Marriott,2014,MLA
Speaking Freedom's Language: United States Multicultural Literature and Human Rights Talk in an Emerging Democracy,Amy K. Levin,Northern Illinois Univ.,Women and the Language and Literature of Human Rights,12:00 noon–1:15 p.m.,Kane,Chicago Marriott,2014,MLA
Beyond Revolution: The Fiction of Individual Sovereignty in Persepolis,Belinda Walzer,Wake Forest Univ.,Women and the Language and Literature of Human Rights,12:00 noon–1:15 p.m.,Kane,Chicago Marriott,2014,MLA
Indigenizing the Gothic Novel: Harold Johnson's Backtrack and Its Uncanny Conventions,Amy Gore,Montana State Univ.,Native Voices in Genre Fiction,12:00 noon–1:15 p.m.,Chicago C,Chicago Marriott,2014,MLA
We Want to Suck Your Blood (and Land and Resources and Religion and Culture): The Dark Side of Hybridity and Indigenous Alternatives in the Speculative Fiction of Melissa Tantaquidgeon Zobel and Drew Hayden Taylor,Mandy Suhr-Sytsma,Emory Univ.,Native Voices in Genre Fiction,12:00 noon–1:15 p.m.,Chicago C,Chicago Marriott,2014,MLA
Sherman Alexie's 'Sinister' Speculative Fictions,Sarah Mayville,Univ. of California,Native Voices in Genre Fiction,12:00 noon–1:15 p.m.,Chicago C,Chicago Marriott,2014,MLA
Chupacabras and Border Crossings: The Illegal Alien in It Came from Del Rio,Miriam Brown Spiers,Univ. of Georgia,Native Voices in Genre Fiction,12:00 noon–1:15 p.m.,Chicago C,Chicago Marriott,2014,MLA
Digital Reading and the Post-forensic Imagination,Lutz Koepnick,Vanderbilt Univ.,Digital Practice: Literary Remediations,12:00 noon–1:15 p.m.,Arkansas,Sheraton Chicago,2014,MLA
Mimicking the Avant-Garde: Intellectual and Artistic Activism in the Digital Age,Patrizia C. McBride,Cornell Univ.,Digital Practice: Literary Remediations,12:00 noon–1:15 p.m.,Arkansas,Sheraton Chicago,2014,MLA
Computer Poems and Critical Coding: Redefining Subjectivity for the Digital Age,Kurt Beals,Washington Univ. in St. Louis,Digital Practice: Literary Remediations,12:00 noon–1:15 p.m.,Arkansas,Sheraton Chicago,2014,MLA
'We Have Always Slain Dragons': Negotiating Empathy and Villainy through Narrative Study,Shelley Ingram,Univ. of Louisiana,Haunting Narratives: Folklore's Contribution to Narrative Studies,12:00 noon–1:15 p.m.,Grace,Chicago Marriott,2014,MLA
'Then There's a Pair of Us!': Fetishism and the Construction of Ghostly Folk in and through Literature,Todd Richardson,Univ. of Nebraska,Haunting Narratives: Folklore's Contribution to Narrative Studies,12:00 noon–1:15 p.m.,Grace,Chicago Marriott,2014,MLA
At the Intersection of Land and Water: Using Topic Models and Morphologies to Understand Folk Narrative,John Laudun,Univ. of Louisiana,Haunting Narratives: Folklore's Contribution to Narrative Studies,12:00 noon–1:15 p.m.,Grace,Chicago Marriott,2014,MLA
Laughter as Heresy: The Church Fathers and the Gnostic Laughter Passages,Una Stroda,Lutheran School of Theology at Chicago,Heresy: Arius to Rushdie,12:00 noon–1:15 p.m.,Michigan A,Sheraton Chicago,2014,MLA
"Chesterton, Eliot, and Modernist Heresy",Alan Blackstock,Utah State Univ.,Heresy: Arius to Rushdie,12:00 noon–1:15 p.m.,Michigan A,Sheraton Chicago,2014,MLA
Islam's Sacred Heresies: Salman Rushdie and Sara Suleri on Secular Devotion,Kathryn Van Wert,Univ. of Minnesota,Heresy: Arius to Rushdie,12:00 noon–1:15 p.m.,Michigan A,Sheraton Chicago,2014,MLA
From Dreiser to DeLillo and Beyond: Extrapolating Our Economic Future,Roark Mulligan,Christopher Newport Univ.,Dreiser and Money,12:00 noon–1:15 p.m.,O'Hare,Chicago Marriott,2014,MLA
'Leave Them Wanting More': Staging Vagrancy behind the Curtain of Affluence in Sister Carrie,Daniel Graham,Univ. of Connecticut,Dreiser and Money,12:00 noon–1:15 p.m.,O'Hare,Chicago Marriott,2014,MLA
"'What Is Your Address?': Place, Money, and Identity in Dreiser's Sister Carrie",Jamie Bolker,Fordham Univ.,Dreiser and Money,12:00 noon–1:15 p.m.,O'Hare,Chicago Marriott,2014,MLA
Speculating on 'Visions of Empire': Vulnerability and Resilience in Dreiser's The Financier,Jude Davies,Univ. of Winchester,Dreiser and Money,12:00 noon–1:15 p.m.,O'Hare,Chicago Marriott,2014,MLA
Return of the Repressed: Religion in the Spanish Avant-Garde and the Second Republic,Leslie Harkema,NA,From the Sacred to the Postsecular: Religion and Literary Writing in Twentieth- and Twenty-First-Century Spain,12:00 noon–1:15 p.m.,Parlor E,Sheraton Chicago,2014,MLA
Experimenting with Religion in a Postreligious Time: Gonzalo Torrente Ballester and Camilo José Cela in Perspective,Daniel García-Donoso,NA,From the Sacred to the Postsecular: Religion and Literary Writing in Twentieth- and Twenty-First-Century Spain,12:00 noon–1:15 p.m.,Parlor E,Sheraton Chicago,2014,MLA
Fleshing Out Post-Catholic Spain in the Twenty-First-Century Spanish Novel,Nathan E. Richardson,Bowling Green State Univ.,From the Sacred to the Postsecular: Religion and Literary Writing in Twentieth- and Twenty-First-Century Spain,12:00 noon–1:15 p.m.,Parlor E,Sheraton Chicago,2014,MLA
The (Mis)Match of Contemporary Literary Theory and Linguistic Theory in Language Teaching,Elizabeth Bernhardt,Stanford Univ.,Linguistic Foundations for Teaching in the Postmethods Era,12:00 noon–1:15 p.m.,Missouri,Sheraton Chicago,2014,MLA
Guiding Novice Second-Language Learners to Notice Cues That Expert Speakers Perceive,Kathleen Wheatley,Univ. of Wisconsin,Linguistic Foundations for Teaching in the Postmethods Era,12:00 noon–1:15 p.m.,Missouri,Sheraton Chicago,2014,MLA
The Importance of Syntax and Pragmatics in L2 Instruction and Teacher Training,Lawrence Williams,Univ. of North Texas,Linguistic Foundations for Teaching in the Postmethods Era,12:00 noon–1:15 p.m.,Missouri,Sheraton Chicago,2014,MLA
"Unionism, Repressive Tolerance, and Righteous Violence: Garrison's Antislavery Ethics",Martha E. Schoolman,Dickinson Coll.,The John Brown Event: Approaches to Nineteenth-Century Righteous Violence,12:00 noon–1:15 p.m.,Los Angeles–Miami,Chicago Marriott,2014,MLA
Harpers Ferry and the Process of Emancipation,Deak Nabers,Brown Univ.,The John Brown Event: Approaches to Nineteenth-Century Righteous Violence,12:00 noon–1:15 p.m.,Los Angeles–Miami,Chicago Marriott,2014,MLA
