presenter_name,presenter_affiliation,presentation_title,session_title,session_description,year
Eli Goldblatt,Temple University,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop.",2017
Tobi Jacobi,Colorado State University,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop.",2017
Beverly Moss,Ohio State University,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop.",2017
Deborah Mutnick,Long Island University,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop.",2017
Jessica Restaino,Montclair State University,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop.",2017
Lauren Rosenberg,New Mexico State University,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop.",2017
Tiffany Rousculp,Salt Lake Community College,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop.",2017
Erec Smith,York College of Pennsylvania,NA,Community Writing Mentoring Workshop,"This workshop responds to the desires expressed by the hundreds of attendees at the first Conference on Community Writing (CCW) in October of 2015 for a hands-on opportunity for teachers, scholars, and community organizers to dialogue with and receive mentorship and feedback from senior scholars in community-based writing, which includes genres such as service-learning, community-based research, community literacy, ethnography, community publishing, advocacy, and activist writing. It also provides an opportunity to circulate and apply the best practices outlined in the revised CCCC Statement on CommunityEngaged Projects in Rhetoric and Composition. The CCW hopes to establish a national mentoring network of teachers and scholars via this workshop.",2017
Jason Luther,Syracuse University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments.",2017
Marilee Brooks-Gillies,Indiana UniversityPurdue University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments.",2017
Frank Farmer,University of Kansas,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments.",2017
Steven Hammer,Saint Joseph's University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments.",2017
Danielle Koupf,Wichita State University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments.",2017
Kelly McElroy,Oregon State University Libraries and Press,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments.",2017
Chelsea Murdock,University of Kansas,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments.",2017
Kristin Prins,California State Polytechnic University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments.",2017
Kristin Ravel,University of Wisconsin,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments.",2017
Ann Shivers-McNair,University of Washington,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments.",2017
Martha Webber,California State University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments.",2017
Patrick Williams,Syracuse University,NA,Handcrafted Rhetorics: DIY and the Public Power of Made Things,"Make and circulate crafts, chat with makers from Portland (PDX), theorize handcrafted rhetorics, and build/share DIY-infused assignments.",2017
Patrick Berry,Syracuse University,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.,2017
Laura Rogers,Albany College of Pharmacy and Health Sciences,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.,2017
Daniel Cleary,Lorain County Community College,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.,2017
Phyllis Hastings,Saginaw Valley State University,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.,2017
Wendy Hinshaw,Florida Atlantic University,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.,2017
Kathie Klarreich,Exchange for Change,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.,2017
Michele McCormack,Chemeketa Community College,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.,2017
Kimberly Drake,Scripps College,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.,2017
Cory Holding,University of Pittsburgh,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.,2017
Tobi Jacobi,Colorado State University,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.,2017
Anna Plemons,Washington State University,NA,The Prison Next Door: What Types of Connections Do We Want to Cultivate?,This workshop explores the connections between the university and the prison and features the voices of the incarcerated.,2017
Daniel Anderson,University of North Carolina at Chapel Hill,NA,Using Digital Creative Arts to Teach Multimedia Composing,"Drawing on digital creative arts, this workshop shows participants how to develop, implement, and assess multimodal composing projects.",2017
Tyler Easterbrook,University of North Carolina at Chapel Hill,NA,Using Digital Creative Arts to Teach Multimedia Composing,"Drawing on digital creative arts, this workshop shows participants how to develop, implement, and assess multimodal composing projects.",2017
Adam Engel,University of North Carolina at Chapel Hill,NA,Using Digital Creative Arts to Teach Multimedia Composing,"Drawing on digital creative arts, this workshop shows participants how to develop, implement, and assess multimodal composing projects.",2017
Ashley Hall,Wright State University,NA,Using Digital Creative Arts to Teach Multimedia Composing,"Drawing on digital creative arts, this workshop shows participants how to develop, implement, and assess multimodal composing projects.",2017
Jason Loan,University of North Carolina at Chapel Hill,NA,Using Digital Creative Arts to Teach Multimedia Composing,"Drawing on digital creative arts, this workshop shows participants how to develop, implement, and assess multimodal composing projects.",2017
Jennifer Ware,Wright State University,NA,Using Digital Creative Arts to Teach Multimedia Composing,"Drawing on digital creative arts, this workshop shows participants how to develop, implement, and assess multimodal composing projects.",2017
Michelle Niestepski,Lasell College,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces.",2017
Katherine Tirabassi,Keene State College,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces.",2017
Suzanne Bordelon,"San Diego State University,",NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces.",2017
San Diego,CA,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces.",2017
Shannon Carter,Texas A&M University,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces.",2017
Michael-John DePalma,Baylor University,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces.",2017
David Gold,University of Michigan,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces.",2017
Wendy Hayden,Hunter College,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces.",2017
Jenna Morton-Aiken,University of Rhode Island,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces.",2017
Liza Potts,Michigan State University,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces.",2017
Robert Schwegler,University of Rhode Island,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces.",2017
Pamela VanHaitsma,Old Dominion University,NA,"Cultivating Archival Connections: Building, Working, and Teaching in Archives","This workshop offers strategies for creating, processing, sharing, and working in archival collections, in both physical and digital spaces.",2017
Karl Stolley,Illinois Institute of Technology,NA,Foundations in Programming,This workshop will teach writing teachers to program in JavaScript. No previous experience in programming is necessary. Participants should bring laptops or tablets.,2017
Daniel Bommarito,Bowling Green State University,NA,Career Pathways Workshop for Rhet/Comp Graduates,"This workshop, designed for grad students and faculty advisors, explores preparation for careers both inside and outside of the university.",2017
Green,OH,NA,Career Pathways Workshop for Rhet/Comp Graduates,"This workshop, designed for grad students and faculty advisors, explores preparation for careers both inside and outside of the university.",2017
Jenae Cohn,University of California,NA,Career Pathways Workshop for Rhet/Comp Graduates,"This workshop, designed for grad students and faculty advisors, explores preparation for careers both inside and outside of the university.",2017
Stacy Hartman,Modern Language Association,NA,Career Pathways Workshop for Rhet/Comp Graduates,"This workshop, designed for grad students and faculty advisors, explores preparation for careers both inside and outside of the university.",2017
Sarah Klotz,Butte College,NA,Career Pathways Workshop for Rhet/Comp Graduates,"This workshop, designed for grad students and faculty advisors, explores preparation for careers both inside and outside of the university.",2017
Carrie Leverenz,Texas Christian University,NA,Career Pathways Workshop for Rhet/Comp Graduates,"This workshop, designed for grad students and faculty advisors, explores preparation for careers both inside and outside of the university.",2017
Mary Stewart,Indiana University of Pennsylvania,NA,Career Pathways Workshop for Rhet/Comp Graduates,"This workshop, designed for grad students and faculty advisors, explores preparation for careers both inside and outside of the university.",2017
Lavinia Hirsu,University of Glasgow,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world.",2017
Keith Lloyd,Kent State University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world.",2017
Lilian Mina,Auburn University at Montgomery,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world.",2017
Ghanashyam Sharma,Stony Brook University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world.",2017
Sara P. Alvarez,"University of Louisville,",NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world.",2017
Louisville,KY,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world.",2017
Moushumi Biswas,University of Texas at El Paso,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world.",2017
Nils Olov Fors,People's Education Press,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world.",2017
Maria Houston,Notre Dame College,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world.",2017
Hem Raj Kafle,Kathmandu University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world.",2017
Julia Kiernan,Kettering University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world.",2017
Zsuzsanna Palmer,Grand Valley State University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world.",2017
Jason Peters,California Polytechnic State University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world.",2017
Rich Rice,Texas Tech University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world.",2017
Cristina Sanchez-Martin,Illinois State University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world.",2017
Lindsay Steiner,University of Wisconsin-La Crosse,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world.",2017
Mayada Zaki,American University in Cairo & Cairo University,NA,Engaging the Global: Challenges and Practices of the Digital in Transnational Writing,"The workshop offers pedagogical responses to challenges and practices of the digital in transnational writing to teachers in various contexts. By bringing together writing teacher-scholars from different national and cultural contexts, the workshop will foreground pedagogical responses to varied and emerging technological landscapes, challenges of teaching cross-cultural communicative skills, and the need to foster a sense of global citizenship in an increasingly interconnected world.",2017
Steve Benninghoff,Eastern Michigan University,NA,Cultivating New TPC Instructors: A Heuristic-Based Technical and Professional Writing Pedagogy Workshop,This workshop will cultivate heuristic pedagogy for new TPC instructors in four core focus areas.,2017
Teena Carnegie,Eastern Washington University,NA,Cultivating New TPC Instructors: A Heuristic-Based Technical and Professional Writing Pedagogy Workshop,This workshop will cultivate heuristic pedagogy for new TPC instructors in four core focus areas.,2017
Scott Kowalewski,Saginaw Valley State University,NA,Cultivating New TPC Instructors: A Heuristic-Based Technical and Professional Writing Pedagogy Workshop,This workshop will cultivate heuristic pedagogy for new TPC instructors in four core focus areas.,2017
Bill Williamson,Saginaw Valley State University,NA,Cultivating New TPC Instructors: A Heuristic-Based Technical and Professional Writing Pedagogy Workshop,This workshop will cultivate heuristic pedagogy for new TPC instructors in four core focus areas.,2017
Lindsey Albracht,The Graduate Center,NA,Assessing Multimodal Writing: Cultivating Course Contract Pedagogies for Emerging Composition Medias,A participatory workshop that explores theories and cultivates pedagogies for contract-based assessment of new media composition projects.,2017
Virginia Schwarz,University of Wisconsin,NA,Assessing Multimodal Writing: Cultivating Course Contract Pedagogies for Emerging Composition Medias,A participatory workshop that explores theories and cultivates pedagogies for contract-based assessment of new media composition projects.,2017
Glen Southergill,Montana Tech of the University of Montana,NA,Assessing Multimodal Writing: Cultivating Course Contract Pedagogies for Emerging Composition Medias,A participatory workshop that explores theories and cultivates pedagogies for contract-based assessment of new media composition projects.,2017
Nicole Warwick,University of California,NA,Assessing Multimodal Writing: Cultivating Course Contract Pedagogies for Emerging Composition Medias,A participatory workshop that explores theories and cultivates pedagogies for contract-based assessment of new media composition projects.,2017
Rebecca Baker,Western Washington University,NA,Story-Driven Podcasting for Writing Class,The workshop invites participants to practice podcasting and imagine the ways podcast assignments may work for their writing classes. Participants should bring laptops or tablets.,2017
Jeremy Cushman,Western Washington University,NA,Story-Driven Podcasting for Writing Class,The workshop invites participants to practice podcasting and imagine the ways podcast assignments may work for their writing classes. Participants should bring laptops or tablets.,2017
Tristan Hanson,Western Washington University,NA,Story-Driven Podcasting for Writing Class,The workshop invites participants to practice podcasting and imagine the ways podcast assignments may work for their writing classes. Participants should bring laptops or tablets.,2017
Michael Johnston,Western Washington University,NA,Story-Driven Podcasting for Writing Class,The workshop invites participants to practice podcasting and imagine the ways podcast assignments may work for their writing classes. Participants should bring laptops or tablets.,2017
Shannon Kelly,Western Washington University,NA,Story-Driven Podcasting for Writing Class,The workshop invites participants to practice podcasting and imagine the ways podcast assignments may work for their writing classes. Participants should bring laptops or tablets.,2017
