presenter_name,presenter_institution,presentation_title,session_title,session_description
Rebecca Powell,University of Southern Mississippi,NA,Repurposing Assessment: Valuing Student Actions via Course Contracts ,An opportunity to explore and begin designing course contracts with experienced teacher-scholars.
Joyce Inman,University of Southern Mississippi,NA,Repurposing Assessment: Valuing Student Actions via Course Contracts ,An opportunity to explore and begin designing course contracts with experienced teacher-scholars.
Emily Martin,University of Southern Mississippi,NA,Repurposing Assessment: Valuing Student Actions via Course Contracts ,An opportunity to explore and begin designing course contracts with experienced teacher-scholars.
Olivia Bushardt,University of Southern Mississippi,NA,Repurposing Assessment: Valuing Student Actions via Course Contracts ,An opportunity to explore and begin designing course contracts with experienced teacher-scholars.
Kelli Sellers,University of Southern Mississippi,NA,Repurposing Assessment: Valuing Student Actions via Course Contracts ,An opportunity to explore and begin designing course contracts with experienced teacher-scholars.
Erin Boade,University of Southern Mississippi,NA,Repurposing Assessment: Valuing Student Actions via Course Contracts ,An opportunity to explore and begin designing course contracts with experienced teacher-scholars.
Missy Wallace,University of Southern Mississippi,NA,Repurposing Assessment: Valuing Student Actions via Course Contracts ,An opportunity to explore and begin designing course contracts with experienced teacher-scholars.
Allison Tharp,The University of Southern Mississippi,NA,Repurposing Assessment: Valuing Student Actions via Course Contracts ,An opportunity to explore and begin designing course contracts with experienced teacher-scholars.
Asao Inoue,University of Washington Tacoma,NA,Repurposing Assessment: Valuing Student Actions via Course Contracts ,An opportunity to explore and begin designing course contracts with experienced teacher-scholars.
Jane Danielewicz,University of North Carolina Chapel Hill,NA,Repurposing Assessment: Valuing Student Actions via Course Contracts ,An opportunity to explore and begin designing course contracts with experienced teacher-scholars.
Peter Elbow,University of Massachusetts,NA,Repurposing Assessment: Valuing Student Actions via Course Contracts ,An opportunity to explore and begin designing course contracts with experienced teacher-scholars.
GRB Room 360AD,Level Three,NA,Composing Comics: Theory and Practice for Writing Teachers ,Our workshop offers participants an introduction to comics theory and practice with a wide range of applications for the writing classroom.
Henry Kirby,Virginia Military Institute,NA,Composing Comics: Theory and Practice for Writing Teachers ,Our workshop offers participants an introduction to comics theory and practice with a wide range of applications for the writing classroom.
Gabe Sealy-Morris,Johnson C. Smith University,NA,Composing Comics: Theory and Practice for Writing Teachers ,Our workshop offers participants an introduction to comics theory and practice with a wide range of applications for the writing classroom.
Susan Kirtley,Portland State University,NA,Composing Comics: Theory and Practice for Writing Teachers ,Our workshop offers participants an introduction to comics theory and practice with a wide range of applications for the writing classroom.
Kathryn Comer,Barry University,NA,Composing Comics: Theory and Practice for Writing Teachers ,Our workshop offers participants an introduction to comics theory and practice with a wide range of applications for the writing classroom.
Dale Jacobs,University of Windsor,NA,Composing Comics: Theory and Practice for Writing Teachers ,Our workshop offers participants an introduction to comics theory and practice with a wide range of applications for the writing classroom.
Molly Scanlon,Nova Southeastern University,NA,Composing Comics: Theory and Practice for Writing Teachers ,Our workshop offers participants an introduction to comics theory and practice with a wide range of applications for the writing classroom.
Hannah Dickinson,Hobart and William Smith Colleges,NA,Composing Comics: Theory and Practice for Writing Teachers ,Our workshop offers participants an introduction to comics theory and practice with a wide range of applications for the writing classroom.
Steven Engel,Marygrove College NA,NA,Composing Comics: Theory and Practice for Writing Teachers ,Our workshop offers participants an introduction to comics theory and practice with a wide range of applications for the writing classroom.
Hilton Grand Ballroom L,Level Four,NA,Consulting for Writing Programs: Developing Effective Practices ,Participants share principles of good practice for consulting work ranging from curriculum development workshops to formal program review.
Shirley Rose,Arizona State University,NA,Consulting for Writing Programs: Developing Effective Practices ,Participants share principles of good practice for consulting work ranging from curriculum development workshops to formal program review.
Deborah H. Holdstein,Columbia College Chicago,NA,Consulting for Writing Programs: Developing Effective Practices ,Participants share principles of good practice for consulting work ranging from curriculum development workshops to formal program review.
Duane Roen,Arizona State University,Figuring the Business End of Consulting,Consulting for Writing Programs: Developing Effective Practices ,Participants share principles of good practice for consulting work ranging from curriculum development workshops to formal program review.
Irwin Weiser,Purdue University,"The Rhetorical Art of Consulting, Part II: The Writing Program Reviewer as Evaluator",Consulting for Writing Programs: Developing Effective Practices ,Participants share principles of good practice for consulting work ranging from curriculum development workshops to formal program review.
Lil Brannon,University of North Carolina,Preparing for a Consultancy: Doing Your Homework then Going with the Flow,Consulting for Writing Programs: Developing Effective Practices ,Participants share principles of good practice for consulting work ranging from curriculum development workshops to formal program review.
Deborah H. Holdstein,Columbia College Chicago,"Synthesizing,",Consulting for Writing Programs: Developing Effective Practices ,Participants share principles of good practice for consulting work ranging from curriculum development workshops to formal program review.
Clarifying,"and Reconciling Presentersâ€™ Perspectives""",NA,Consulting for Writing Programs: Developing Effective Practices ,Participants share principles of good practice for consulting work ranging from curriculum development workshops to formal program review.
Martha Townsend,University of Missouri,Following Up: When Does the Consultation End?,Consulting for Writing Programs: Developing Effective Practices ,Participants share principles of good practice for consulting work ranging from curriculum development workshops to formal program review.
Chris Anson,North Carolina State University,Making Consulting Work Visible without Revealing Confidential Information,Consulting for Writing Programs: Developing Effective Practices ,Participants share principles of good practice for consulting work ranging from curriculum development workshops to formal program review.
Michelle Cox,Cornell University,"The Rhetorical Art of Consulting, Part I: The Workshop Leader as Advocate",Consulting for Writing Programs: Developing Effective Practices ,Participants share principles of good practice for consulting work ranging from curriculum development workshops to formal program review.
Carol Rutz,Carleton College,Attention to Audience: Places to Go and People to See,Consulting for Writing Programs: Developing Effective Practices ,Participants share principles of good practice for consulting work ranging from curriculum development workshops to formal program review.
Shirley Rose,Arizona State University,Welcome and Introductions; Goal Setting for the Workshop,Consulting for Writing Programs: Developing Effective Practices ,Participants share principles of good practice for consulting work ranging from curriculum development workshops to formal program review.
Hilton Ballroom of the Americas Salon E,Level Two,NA,"Taking Action with Student Retention and Success: An OWI ""Student Matters"" Workshop ",Student guest respondents and a survey ground participant learning and activities about student needs for OWI.
Beth Hewett,Defend & Publish,NA,"Taking Action with Student Retention and Success: An OWI ""Student Matters"" Workshop ",Student guest respondents and a survey ground participant learning and activities about student needs for OWI.
Lourdes Spurlock,Old Dominion University,A Studentâ€™s Perspective,"Taking Action with Student Retention and Success: An OWI ""Student Matters"" Workshop ",Student guest respondents and a survey ground participant learning and activities about student needs for OWI.
Heidi Harris,University of Arkansas at Little Rock,Preparing for an OWC,"Taking Action with Student Retention and Success: An OWI ""Student Matters"" Workshop ",Student guest respondents and a survey ground participant learning and activities about student needs for OWI.
Wendy McCloud,University of Arkansas Little Rock,A Studentâ€™s Perspective,"Taking Action with Student Retention and Success: An OWI ""Student Matters"" Workshop ",Student guest respondents and a survey ground participant learning and activities about student needs for OWI.
Diana Gasiewski,Drexel University,A Studentâ€™s Perspective,"Taking Action with Student Retention and Success: An OWI ""Student Matters"" Workshop ",Student guest respondents and a survey ground participant learning and activities about student needs for OWI.
Beth Hewett,Defend & Publish,Providing Necessary Support Components for OWCs,"Taking Action with Student Retention and Success: An OWI ""Student Matters"" Workshop ",Student guest respondents and a survey ground participant learning and activities about student needs for OWI.
Hilton Ballroom of the Americas Salon D,Level Two,NA,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Jacqueline Preston,Utah Valley University,Active Support for Radical Pedagogies: The Postpedagogical,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Movement,Project-Based,NA,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Nancy Mack,Wright State University,Active Support for Radical,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
The Postpedagogical Movement,"Project-Based,",NA,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Multigenre,"and Multimodal Approaches""",NA,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Melody Wise,Glenville State College,"Project-Based, Multimodal Approaches to Improving Literacy in Secondary and","Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Nathalie Virgintino,St. Johnâ€™s University,Studio and Art-Based Pedagogies in the Writing Class Learning through Making,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Robyn Tierney,New Mexico State University,Moved to Write: Along Personal and Sociocultural Affective Sites,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Brian Stone,Huston Tillotson University,Critical Hiphop Rhetoric Pedagogy,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Tara Roeder,St. Johnâ€™s University,Jamming the Smooth Operations of the Normal and the Ordinary: Resisting the Politics of Cohesion,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Jacqueline Preston,Utah Valley University,It Began with Affection and Took Flight: The Ethical and Political Undercurrent,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Matthew Pavesich,Georgetown University,"Make a Thing, We Told Them","Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Derek Owens,St. Johnâ€™s University,"Promoting, Showcasing, Flaunting: Highlighting the Multimodal Work Being Done by Our Students and","Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Nancy Mack,Wright State University,Academic Identity Formation: Critical Narratives of Future Identities,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Adam Koehler,Manhattan College,Finding Unity in Diversity: Toward a Radical Assessment,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
 Kefaya Diab,New Mexico State University,Filmmaking as Transformative Critical Pedagogy: Can We Actually Change the World,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Roseanne Gatto,St. Johnâ€™s University,NA,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Katherine Hanzalik,Clemson University,Transmedia Activism: A Post-Pedagogy for Parity,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Rik Hunter,University of Tennessee at Chattanooga,Multimodal Collaborative Group Work: (Anxious) Active and Social Learning,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Jayne Moneysmith,Kent State University at Stark,Mentoring Innovation: Providing and Seeking Mentorship for Radical,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Matthew Tougas,Louisiana State University,Composing Disruption: Moving from Analysis to Action,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Deborah Coxwell-Teague,Florida State University,Revitalizing and Reinventing a Composition Program,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Amanda Wray,University of North Carolina,Developing Rhetorical Frames for Inclusivity: Community Engaged Service in,"Active Support for Radical Pedagogies: The Postpedagogical Movement, Project-Based, Multigenre, and Multimodal Approaches ","This workshop provides support for radical pedagogies, naming, building, and sustaining the postpedagogical movement in composition."
Hilton Room 329,Level Three,NA,But I Donâ€™t Know What to Say: Peer Review as a Tool to Help Students Effectively Join the Conversation ,This workshop will walk participants through four different peer review models for in-class and online review.
Travis Holt,Liberty University,Text as Image: â€˜Seeingâ€™ What Weâ€™re Writing,But I Donâ€™t Know What to Say: Peer Review as a Tool to Help Students Effectively Join the Conversation ,This workshop will walk participants through four different peer review models for in-class and online review.
Elise Green,Longwood University,Grillz and Spillz: Using Pop Culture,But I Donâ€™t Know What to Say: Peer Review as a Tool to Help Students Effectively Join the Conversation ,This workshop will walk participants through four different peer review models for in-class and online review.
Ramona Myers,Liberty University,Fighting Perceptions of â€˜The Blind Leading the Blindâ€™ Using Stations,But I Donâ€™t Know What to Say: Peer Review as a Tool to Help Students Effectively Join the Conversation ,This workshop will walk participants through four different peer review models for in-class and online review.
Brian Harrell,University of Akron,Online Peer Reviewing,But I Donâ€™t Know What to Say: Peer Review as a Tool to Help Students Effectively Join the Conversation ,This workshop will walk participants through four different peer review models for in-class and online review.
Hilton Room 330,Level Three,NA,Basics of Coding: Analyzing Data and Reporting Findings ,This half-day workshop is designed to help researchers overcome challenges they may encounter when they code language data.
Jordan Smith,Iowa State University,NA,Basics of Coding: Analyzing Data and Reporting Findings ,This half-day workshop is designed to help researchers overcome challenges they may encounter when they code language data.
Karen Lunsford,University of California,Basics of Coding: Analyzing Data and Reporting Findings,Basics of Coding: Analyzing Data and Reporting Findings ,This half-day workshop is designed to help researchers overcome challenges they may encounter when they code language data.
Jo Mackiewicz,Iowa State University,Basics of Coding: Analyzing Data and Reporting Findings,Basics of Coding: Analyzing Data and Reporting Findings ,This half-day workshop is designed to help researchers overcome challenges they may encounter when they code language data.
Hilton Room 327,Level Three,NA,"Reading Workshop: Pedagogies, Processes, Purposes, Practices ",This workshop explores ways to integrate reading instruction in composition courses.
Kelly Whitney,New Mexico State University,NA,"Reading Workshop: Pedagogies, Processes, Purposes, Practices ",This workshop explores ways to integrate reading instruction in composition courses.
Nancy A. Benson,University of Massachusetts,NA,"Reading Workshop: Pedagogies, Processes, Purposes, Practices ",This workshop explores ways to integrate reading instruction in composition courses.
Karen Shea,Johnson & Wales University,NA,"Reading Workshop: Pedagogies, Processes, Purposes, Practices ",This workshop explores ways to integrate reading instruction in composition courses.
Mais Al-Khateeb,New Mexico State University NA,NA,"Reading Workshop: Pedagogies, Processes, Purposes, Practices ",This workshop explores ways to integrate reading instruction in composition courses.
GRB Room 360BE,Level Three,NA,Disrupting the Cycle of Mass Incarceration: What Can Writing Really Do? ,What sort of action can writing teachers take to disrupt the cycle of mass incarceration?
Patrick Berry,Syracuse University,NA,Disrupting the Cycle of Mass Incarceration: What Can Writing Really Do? ,What sort of action can writing teachers take to disrupt the cycle of mass incarceration?
Laura Rogers,Albany College of Pharmacy and Health Sciences,NA,Disrupting the Cycle of Mass Incarceration: What Can Writing Really Do? ,What sort of action can writing teachers take to disrupt the cycle of mass incarceration?
Daniel Cleary,Lorain County Community College,The Northeast Ohio Community Outreach Project: An Overview,Disrupting the Cycle of Mass Incarceration: What Can Writing Really Do? ,What sort of action can writing teachers take to disrupt the cycle of mass incarceration?
Phyllis Hastings,Saginaw Valley State University,Restorative Justice Principles in Action after Incarceration,Disrupting the Cycle of Mass Incarceration: What Can Writing Really Do? ,What sort of action can writing teachers take to disrupt the cycle of mass incarceration?
Tom Kerr,Ithaca College,The Rhetorical Challenges of Reenvisioning Community for Two Writers Long on Death Row: An Editorâ€™s,Disrupting the Cycle of Mass Incarceration: What Can Writing Really Do? ,What sort of action can writing teachers take to disrupt the cycle of mass incarceration?
Rex Veeder,St. Cloud State University,Stemming the Tide-Interrupting the Flow of At-Risk Youth to Prisons,Disrupting the Cycle of Mass Incarceration: What Can Writing Really Do? ,What sort of action can writing teachers take to disrupt the cycle of mass incarceration?
Kathie Klarreich,Exchange for Change,Reporting to Give Words Wings: The Intersection of Journalism and Prison Writing Programs,Disrupting the Cycle of Mass Incarceration: What Can Writing Really Do? ,What sort of action can writing teachers take to disrupt the cycle of mass incarceration?
Barbara Roswell,Goucher College,Inviting the Writing Workshop into the Writing ClassCreative-Academic Hybrids within,Disrupting the Cycle of Mass Incarceration: What Can Writing Really Do? ,What sort of action can writing teachers take to disrupt the cycle of mass incarceration?
Cory Holding,University of Pittsburgh,NA,Disrupting the Cycle of Mass Incarceration: What Can Writing Really Do? ,What sort of action can writing teachers take to disrupt the cycle of mass incarceration?
Tobi Jacobi,Colorado State University,NA,Disrupting the Cycle of Mass Incarceration: What Can Writing Really Do? ,What sort of action can writing teachers take to disrupt the cycle of mass incarceration?
Kimberly Drake,Scripps College,NA,Disrupting the Cycle of Mass Incarceration: What Can Writing Really Do? ,What sort of action can writing teachers take to disrupt the cycle of mass incarceration?
Wendy Hinshaw,Florida Atlantic University NA,NA,Disrupting the Cycle of Mass Incarceration: What Can Writing Really Do? ,What sort of action can writing teachers take to disrupt the cycle of mass incarceration?
Hilton Room 336A,Level Three,NA,Critical Soundplay: An Audio Composing Workshop,"Come play with digital audio. Weâ€™ll practice and discuss recording, editing, performance, ethics, file formats, and remix."
Kyle Stedman,Rockford University,Remixing Copyrighted Music,Critical Soundplay: An Audio Composing Workshop,"Come play with digital audio. Weâ€™ll practice and discuss recording, editing, performance, ethics, file formats, and remix."
Steven Hammer,Saint Josephâ€™s University,Politics and (mal)Practices of Compression,Critical Soundplay: An Audio Composing Workshop,"Come play with digital audio. Weâ€™ll practice and discuss recording, editing, performance, ethics, file formats, and remix."
Erin Anderson,University of Massachusetts,Voice Editing and Ethics,Critical Soundplay: An Audio Composing Workshop,"Come play with digital audio. Weâ€™ll practice and discuss recording, editing, performance, ethics, file formats, and remix."
Trisha Campbell,University of Pittsburgh,Performing toward Rhetorical Empathy,Critical Soundplay: An Audio Composing Workshop,"Come play with digital audio. Weâ€™ll practice and discuss recording, editing, performance, ethics, file formats, and remix."
GRB Room 360CF,Level Three,NA,"Archives as Sites for Community Collaborations, Classroom Explorations, and Activism ",This workshop offers strategies for building community connections through archives and incorporating archival research in the classroom.
Katherine Tirabassi,Keene State College,NA,"Archives as Sites for Community Collaborations, Classroom Explorations, and Activism ",This workshop offers strategies for building community connections through archives and incorporating archival research in the classroom.
Michelle Niestepski,Lasell College,NA,"Archives as Sites for Community Collaborations, Classroom Explorations, and Activism ",This workshop offers strategies for building community connections through archives and incorporating archival research in the classroom.
Suzanne Bordelon,San Diego State University,NA,"Archives as Sites for Community Collaborations, Classroom Explorations, and Activism ",This workshop offers strategies for building community connections through archives and incorporating archival research in the classroom.
Shannon Carter,Texas A&M University-Commerce,NA,"Archives as Sites for Community Collaborations, Classroom Explorations, and Activism ",This workshop offers strategies for building community connections through archives and incorporating archival research in the classroom.
Michael-John DePalma,Baylor University,NA,"Archives as Sites for Community Collaborations, Classroom Explorations, and Activism ",This workshop offers strategies for building community connections through archives and incorporating archival research in the classroom.
Jessica Enoch,University of Maryland,NA,"Archives as Sites for Community Collaborations, Classroom Explorations, and Activism ",This workshop offers strategies for building community connections through archives and incorporating archival research in the classroom.
David Gold,University of Michigan,NA,"Archives as Sites for Community Collaborations, Classroom Explorations, and Activism ",This workshop offers strategies for building community connections through archives and incorporating archival research in the classroom.
Jenna Morton-Aiken,University of Rhode Island,NA,"Archives as Sites for Community Collaborations, Classroom Explorations, and Activism ",This workshop offers strategies for building community connections through archives and incorporating archival research in the classroom.
Tarez Samra Graban,Florida State University,NA,"Archives as Sites for Community Collaborations, Classroom Explorations, and Activism ",This workshop offers strategies for building community connections through archives and incorporating archival research in the classroom.
Robert Schwegler,University of Rhode Island,NA,"Archives as Sites for Community Collaborations, Classroom Explorations, and Activism ",This workshop offers strategies for building community connections through archives and incorporating archival research in the classroom.
Wendy Hayden,Hunter College,NA,"Archives as Sites for Community Collaborations, Classroom Explorations, and Activism ",This workshop offers strategies for building community connections through archives and incorporating archival research in the classroom.
GRB Room 361BE,Level Three,NA,Engaging the Global in the Teaching of Writing: Critical and Multiperspective Approaches ,Facilitators from several countries will help participants share and discuss teaching activities/ideas on global and cross-cultural issues.
Santosh Khadka,California State University,NA,Engaging the Global in the Teaching of Writing: Critical and Multiperspective Approaches ,Facilitators from several countries will help participants share and discuss teaching activities/ideas on global and cross-cultural issues.
Sara Alvarez,University of Louisville,NA,Engaging the Global in the Teaching of Writing: Critical and Multiperspective Approaches ,Facilitators from several countries will help participants share and discuss teaching activities/ideas on global and cross-cultural issues.
Ligia Mihut,Barry Univeristy,NA,Engaging the Global in the Teaching of Writing: Critical and Multiperspective Approaches ,Facilitators from several countries will help participants share and discuss teaching activities/ideas on global and cross-cultural issues.
Ghanashyam Sharma,Stony Brook University NA,NA,Engaging the Global in the Teaching of Writing: Critical and Multiperspective Approaches ,Facilitators from several countries will help participants share and discuss teaching activities/ideas on global and cross-cultural issues.
Hilton Room 336B,Level Three,NA,"Grammar, Grammars, and the Teaching of Grammar in the 21st Century ",A workshop designed to help participants develop alternatives to traditional approaches to teaching grammar.
Susan Gabriel,Community College of Baltimore County,NA,"Grammar, Grammars, and the Teaching of Grammar in the 21st Century ",A workshop designed to help participants develop alternatives to traditional approaches to teaching grammar.
Peter Adams,Community College of Baltimore County NA,NA,"Grammar, Grammars, and the Teaching of Grammar in the 21st Century ",A workshop designed to help participants develop alternatives to traditional approaches to teaching grammar.
Hilton,Room 337A,NA,"Tools, Not Rules: A Workshop in Progressive Grammar ",Grammar is involved in the construction of meaning in all its manifestations and is best taught as a resource for agency.
Joseph Salvatore,The New School,NA,"Tools, Not Rules: A Workshop in Progressive Grammar ",Grammar is involved in the construction of meaning in all its manifestations and is best taught as a resource for agency.
Craig Hancock,University at Albany,NA,"Tools, Not Rules: A Workshop in Progressive Grammar ",Grammar is involved in the construction of meaning in all its manifestations and is best taught as a resource for agency.
Joseph Salvatore,The New School,Sentence as Shaper of Meaning,"Tools, Not Rules: A Workshop in Progressive Grammar ",Grammar is involved in the construction of meaning in all its manifestations and is best taught as a resource for agency.
Stella Wang,University of Rochester,Corpus Studies of Personal Pronouns,"Tools, Not Rules: A Workshop in Progressive Grammar ",Grammar is involved in the construction of meaning in all its manifestations and is best taught as a resource for agency.
Craig Hancock,University at Albany,Intonation and Punctuation,"Tools, Not Rules: A Workshop in Progressive Grammar ",Grammar is involved in the construction of meaning in all its manifestations and is best taught as a resource for agency.
Cornelia Paraskevas,Western Oregon University,Thematic Development,"Tools, Not Rules: A Workshop in Progressive Grammar ",Grammar is involved in the construction of meaning in all its manifestations and is best taught as a resource for agency.
Deborah Rossen-Knill,University of Rochester,A Language-Construction Approach to ,"Tools, Not Rules: A Workshop in Progressive Grammar ",Grammar is involved in the construction of meaning in all its manifestations and is best taught as a resource for agency.
GRB Room 351E,Level Three,NA,Strategic Action in Teaching against Plagiarism: Using Plagiarism Pedagogically ,This workshop focuses on developing practical teaching strategies to help students learn how to engage with sources and avoid plagiarizing.
Gerald Nelms,Wright State University,NA,Strategic Action in Teaching against Plagiarism: Using Plagiarism Pedagogically ,This workshop focuses on developing practical teaching strategies to help students learn how to engage with sources and avoid plagiarizing.
Robert Yagelski,University at Albany,NA,Strategic Action in Teaching against Plagiarism: Using Plagiarism Pedagogically ,This workshop focuses on developing practical teaching strategies to help students learn how to engage with sources and avoid plagiarizing.
